"id","path_id","level_id","component_added","stress","median","verification","diff","context_name","context_type","component_type"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",16,3320329,"gradual",-1693703,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",18,4130828,"gradual",-1951302,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",20,4401183,"gradual",-1932240,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",22,4884642,"gradual",-2332960,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",24,5101996,"gradual",-2464292,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",26,6816535,"gradual",-4183825,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",28,6618213,"gradual",-3923695,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",30,7170491,"gradual",-3508405,"tree_get_parent","fold","pred_inst"
"283b321b4789250955410d57f0a6321",7,52,"m.tree_get_parent.3.fold.pred_inst.41",32,8921720,"gradual",-5503574,"tree_get_parent","fold","pred_inst"
"258c0aee891f620c6e0dc2a660321f39",3,56,"m.main.5.inv.pred_inst.11",32,117309855,"gradual",-2214601,"main","inv","pred_inst"
"319297c10d09111c941b6174acc65f6e",6,57,"m.tree_add_left.2.post.pred_inst.14",32,209105559,"gradual",-2285899,"tree_add_left","post","pred_inst"
"259c0afe891f620c6e0dc2a660321f39",3,58,"m.main.5.inv.default.9",30,94061117,"gradual",-1787023,"main","inv","default"
