id,path_id,level_id,component_added
0,0,0,NA
80000000000,0,1,p.context.6.pred.82
80020000000,0,2,p.subtreeHelper.6.pred.96
40000000080020000000,0,3,m.tree_get_right.1.pre.47
8040000000080020000000,0,4,m.tree_get_parent.1.pre.38
2008040000000080020000000,0,5,m.tree_add_right.4.unfold.28
2008040200000080020000000,0,6,m.tree_get_total.4.unfold.56
2008042200000080020000000,0,7,m.tree_get_right.3.fold.52
2008046200000080020000000,0,8,m.tree_get_right.4.unfold.51
2008046200100080020000000,0,9,m.tree_has_right.3.fold.69
2009046200100080020000000,0,10,m.tree_get_parent.3.fold.41
2009046208100080020000000,0,11,m.tree_has_parent.1.pre.62
12009046208100080020000000,0,12,m.tree_add_right.3.fold.25
12019046208100080020000000,0,13,m.tree_get_left.3.fold.37
12019046208100080020000004,0,14,p.tree.6.pred.123
12019046208100080020000006,0,15,p.tree.6.pred.124
13019046208100080020000006,0,16,m.tree_add_right.3.fold.29
13019046308100080020000006,0,17,m.tree_get_total.3.fold.57
13019046308100081020000006,0,18,p.context.6.pred.89
1301904630810008102000000e,0,19,p.tree.6.pred.122
1301904630810008102008000e,0,20,p.subtreeHelper.6.pred.106
130190463081000810a008000e,0,21,p.subtreeHelper.6.pred.94
130190463081000810b008000e,0,22,p.subtreeHelper.6.pred.97
130990463081000810b008000e,0,23,m.tree_get_left.3.fold.34
20130990463081000810b008000e,0,24,m.tree_add_left.3.fold.16
30130990463081000810b008000e,0,25,m.tree_add_left.3.fold.17
20030130990463081000810b008000e,0,26,m.fixup_ancestors.1.pre.4
20030130990463081000850b008000e,0,27,p.context.6.pred.87
20030130990463081000850b008002e,0,28,p.tree.6.pred.120
20030130d90463081000850b008002e,0,29,m.tree_get_left.4.unfold.35
20230130d90463081000850b008002e,0,30,m.main.5.inv.12
20230130d90463081200850b008002e,0,31,p.context.6.pred.72
20230130d90463081200858b008002e,0,32,p.context.6.pred.90
20230130d90463081204858b008002e,0,33,p.context.6.pred.79
20230130d90463081204858b00a002e,0,34,p.subtreeHelper.6.pred.108
20230130d9046308120c858b00a002e,0,35,p.context.6.pred.78
20230130d9046308920c858b00a002e,0,36,m.tree_has_right.1.pre.66
20230130d9046308b20c858b00a002e,0,37,m.tree_has_right.4.unfold.68
20230130d9046308b20c858b00a006e,0,38,p.subtreeHelper.6.pred.119
20230130d9046308b20c858b40a006e,0,39,p.subtreeHelper.6.pred.99
20230130d9046308b20e858b40a006e,0,40,p.context.6.pred.80
60230130d9046308b20e858b40a006e,0,41,m.create_tree.3.fold.3
60238130d9046308b20e858b40a006e,0,42,m.tree_add_left.3.fold.18
60238130d9046308b20e858b50a006e,0,43,p.subtreeHelper.6.pred.101
60238130d90c6308b20e858b50a006e,0,44,m.tree_get_parent.3.fold.46
60a38130d90c6308b20e858b50a006e,0,45,m.main.5.inv.10
60a38130d90c6b08b20e858b50a006e,0,46,m.tree_get_total.1.pre.54
260a38130d90c6b08b20e858b50a006e,0,47,m.create_tree.2.post.0
260a38130d90c6f08b20e858b50a006e,0,48,m.tree_get_total.2.post.55
260a38130d90c6f48b20e858b50a006e,0,49,m.tree_has_left.2.post.59
260a38130d90c6f48b20e858f50a006e,0,50,p.subtreeHelper.6.pred.95
260a38130d90c6f48b20e858f50e006e,0,51,p.subtreeHelper.6.pred.107
