"id","path_id","level_id","stress","diff_grad","percent_diff_grad"
"0",0,0,4,-7.53000000000038e-07,-0.0622944716758734
"0",0,0,8,-0.000303392,-21.0191654256788
"0",0,0,16,-0.001379251,-54.5891027683393
"800000000000000000000000000000",0,1,4,-4.34250000000001e-05,-3.36434913305547
"800000000000000000000000000000",0,1,8,2.41950000000001e-05,1.77960613296626
"800000000000000000000000000000",0,1,16,-3.65985e-05,-2.02790141003105
"800000000000002000000000000000",0,2,4,-2.44365e-05,-1.98383720462956
"800000000000002000000000000000",0,2,8,-1.89355e-05,-1.40656436319824
"800000000000002000000000000000",0,2,16,0.0004976515,28.3399900171099
"800000000000002100000000000000",0,3,4,-1.31525000000002e-05,-1.03470723941054
"800000000000002100000000000000",0,3,8,-8.65795e-05,-6.13315208151515
"800000000000002100000000000000",0,3,16,-0.00024587,-10.326708635152
"20000000000000800000000000002100000000000000",0,4,4,-0.0002643825,-17.5808446545774
"20000000000000800000000000002100000000000000",0,4,8,-0.000804729,-36.2464253718537
"20000000000000800000000000002100000000000000",0,4,16,-0.0054852335,-74.7366327096122
"20000000000000800000000000402100000000000000",0,5,4,-0.000225719,-15.7427665740221
"20000000000000800000000000402100000000000000",0,5,8,-0.001002131,-42.668338547316
"20000000000000800000000000402100000000000000",0,5,16,-0.006205004,-77.7641243307809
"20000040000000800000000000402100000000000000",0,6,4,-0.000283344,-19.2002927369721
"20000040000000800000000000402100000000000000",0,6,8,-0.00099317,-42.2151375083178
"20000040000000800000000000402100000000000000",0,6,16,-0.005152725,-74.086074410371
"20000040000000800008000000402100000000000000",0,7,4,-0.000131439,-9.00181729335951
"20000040000000800008000000402100000000000000",0,7,8,-0.000846773,-37.1193127184824
"20000040000000800008000000402100000000000000",0,7,16,-0.0051405915,-72.0196439696863
"30000040000000800008000000402100000000000000",0,8,4,-0.000152422,-10.6335279625257
"30000040000000800008000000402100000000000000",0,8,8,-0.0008272195,-37.6445711773708
"30000040000000800008000000402100000000000000",0,8,16,-0.00496193,-73.0695351404333
"30000040000000800008000000402102000000000000",0,9,4,-0.000162646,-11.3598251109644
