id,stress,iter,median,mean,stdev,min,max
726afa1cdb675b59c58a,56,3,2278163,2301209,49332,2267618,2357848
726afa1cdb675b59c58a,60,3,2474330,2501578,59853,2460197,2570208
726afa1cdb675b59c58a,64,3,2671659,2665627,26606,2636523,2688701
20100000800005a040,0,3,860481,879905,88346,802887,976347
20100000800005a040,4,3,806558,803513,10763,791555,812426
20100000800005a040,8,3,841268,836227,14669,819702,847713
20100000800005a040,12,3,888789,897179,46008,855944,946806
20100000800005a040,16,3,981740,962597,45204,910971,995082
20100000800005a040,20,3,1142462,1291553,318816,1074598,1657600
20100000800005a040,24,3,1154831,1161001,20845,1143938,1184235
20100000800005a040,28,3,1241057,1248033,13723,1239200,1263843
20100000800005a040,32,3,1386044,1364748,51370,1306154,1402046
20100000800005a040,36,3,1466627,1461991,22079,1437962,1481384
20100000800005a040,40,3,1597041,1636353,78102,1585718,1726301
20100000800005a040,44,3,1762525,1758772,39416,1717614,1796178
20100000800005a040,48,3,1967713,1981431,88964,1900123,2076459
20100000800005a040,52,3,2103556,2108596,42656,2068684,2153550
20100000800005a040,56,3,2275873,2272824,7152,2264652,2277947
20100000800005a040,60,3,2495005,2487870,19529,2465776,2502829
20100000800005a040,64,3,2708729,2693029,31922,2656297,2714062
45ad3593a2cd0dbccf62,0,3,853062,849550,16075,832010,863580
45ad3593a2cd0dbccf62,4,3,856181,856515,12605,844080,869285
45ad3593a2cd0dbccf62,8,3,1056521,1071456,28630,1053382,1104466
45ad3593a2cd0dbccf62,12,3,1316858,1324427,32766,1296108,1360316
45ad3593a2cd0dbccf62,16,3,1839828,1827592,40588,1782293,1860655
45ad3593a2cd0dbccf62,20,3,2505145,2499374,15416,2481905,2511073
45ad3593a2cd0dbccf62,24,3,3505546,3512425,34558,3481823,3549906
45ad3593a2cd0dbccf62,28,3,4869543,4910301,79216,4859763,5001598
45ad3593a2cd0dbccf62,32,3,6627138,6634359,19471,6619530,6656410
45ad3593a2cd0dbccf62,36,3,8743802,8748377,43889,8706955,8794375
45ad3593a2cd0dbccf62,40,3,11390536,11377889,31680,11341839,11401294
45ad3593a2cd0dbccf62,44,3,14456018,14434508,41439,14386737,14460770
45ad3593a2cd0dbccf62,48,3,18127082,18134655,25994,18113289,18163595
45ad3593a2cd0dbccf62,52,3,22654222,22804224,406989,22493524,23264926
45ad3593a2cd0dbccf62,56,3,27796578,27925604,229509,27789646,28190589
45ad3593a2cd0dbccf62,60,3,33446555,33301925,258385,33003613,33455608
45ad3593a2cd0dbccf62,64,3,40739037,40484525,444895,39970812,40743728
102040002000402000,0,3,834049,849408,56018,802671,911504
102040002000402000,4,3,801713,801684,5326,796344,806997
102040002000402000,8,3,841533,848625,36688,816001,888343
102040002000402000,12,3,908827,912953,26750,888506,941527
102040002000402000,16,3,967700,971998,30448,943928,1004368
102040002000402000,20,3,1020109,1023450,17787,1007570,1042672
102040002000402000,24,3,1149679,1166278,37217,1140250,1208907
102040002000402000,28,3,1245924,1248675,18310,1231896,1268205
102040002000402000,32,3,1358690,1398102,99044,1324831,1510786
102040002000402000,36,3,1450078,1447519,5686,1441003,1451478
102040002000402000,40,3,1634879,1693371,109160,1625922,1819313
102040002000402000,44,3,1750554,1745937,8648,1735960,1751299
102040002000402000,48,3,1869225,1899424,58619,1862062,1966986
102040002000402000,52,3,2068955,2091436,42520,2064876,2140479
102040002000402000,56,3,2334055,2300983,63179,2228133,2340762
102040002000402000,60,3,2434533,2429105,49775,2376839,2475945
102040002000402000,64,3,2660916,2647553,33799,2609115,2672628
22223208000003008000,0,3,846628,860869,60452,808810,927171
22223208000003008000,4,3,786527,819229,57493,785546,885614
22223208000003008000,8,3,838246,832661,13641,817114,842625
22223208000003008000,12,3,896898,893224,8395,883618,899157
22223208000003008000,16,3,966485,979436,41224,946243,1025581
22223208000003008000,20,3,1063914,1250003,353531,1028385,1657711
22223208000003008000,24,3,1163501,1166637,12235,1156275,1180135
22223208000003008000,28,3,1235749,1279303,86236,1223530,1378631
22223208000003008000,32,3,1330666,1346434,32506,1324819,1383817
22223208000003008000,36,3,1458074,1486280,77848,1426467,1574301
22223208000003008000,40,3,1613296,1609567,11661,1596497,1618908
22223208000003008000,44,3,1706914,1778561,129209,1701049,1927721
22223208000003008000,48,3,1917175,1904172,23073,1877532,1917810
22223208000003008000,52,3,2048717,2061594,36302,2033485,2102580
22223208000003008000,56,3,2256370,2268884,49108,2227244,2323040
22223208000003008000,60,3,2460155,2484066,56506,2443447,2548597
22223208000003008000,64,3,2678121,2694936,60993,2644114,2762573
43a05ff79cd9784ccec4,0,3,855648,859227,33417,827743,894290
43a05ff79cd9784ccec4,4,3,893630,885567,30983,851349,911722
43a05ff79cd9784ccec4,8,3,1146580,1147089,13026,1134324,1160363
43a05ff79cd9784ccec4,12,3,1656997,1654819,60585,1593174,1714287
43a05ff79cd9784ccec4,16,3,2446310,2487585,74831,2442481,2573965
43a05ff79cd9784ccec4,20,3,3797456,3785240,70607,3709322,3848944
43a05ff79cd9784ccec4,24,3,5520443,5532270,28955,5511101,5565268
43a05ff79cd9784ccec4,28,3,8026973,8082018,111781,8008435,8210648
43a05ff79cd9784ccec4,32,3,11214382,11224956,20189,11212251,11248237
43a05ff79cd9784ccec4,36,3,15121632,15094282,58074,15027582,15133632
43a05ff79cd9784ccec4,40,3,20240885,20291072,102835,20222967,20409365
43a05ff79cd9784ccec4,44,3,26319964,26441571,242596,26283830,26720920
43a05ff79cd9784ccec4,48,3,33654971,33896605,484755,33580161,34454684
43a05ff79cd9784ccec4,52,3,42203563,42320231,481039,41908257,42848875
43a05ff79cd9784ccec4,56,3,51797300,51807999,69804,51744163,51882536
43a05ff79cd9784ccec4,60,3,63039607,63329746,645895,62879800,64069833
43a05ff79cd9784ccec4,64,3,75885236,75842778,84279,75745714,75897385
2030a0da0528034e2000,0,3,816388,857902,80744,806361,950958
2030a0da0528034e2000,4,3,858629,855277,25517,828250,878953
2030a0da0528034e2000,8,3,1025775,1023805,4170,1019015,1026626
2030a0da0528034e2000,12,3,1332980,1329882,8633,1320127,1336540
2030a0da0528034e2000,16,3,1826909,1831574,15451,1818994,1848821
2030a0da0528034e2000,20,3,2547155,2561268,45709,2524280,2612370
2030a0da0528034e2000,24,3,3598293,3587520,68483,3514288,3649979
2030a0da0528034e2000,28,3,4900779,4893721,24773,4866185,4914200
2030a0da0528034e2000,32,3,6603007,6612631,128167,6489547,6745340
2030a0da0528034e2000,36,3,8703765,8737782,143358,8614493,8895090
2030a0da0528034e2000,40,3,11273677,11291349,39484,11263788,11336584
2030a0da0528034e2000,44,3,14481632,14605655,282854,14405999,14929336
2030a0da0528034e2000,48,3,18274186,18257740,40657,18211436,18287598
2030a0da0528034e2000,52,3,22740404,22835772,264034,22632672,23134241
2030a0da0528034e2000,56,3,27709556,27702283,64626,27634328,27762965
2030a0da0528034e2000,60,3,33975990,33720186,489895,33155339,34029229
2030a0da0528034e2000,64,3,40245047,40472075,502892,40122724,41048455
7fffdf5febdfffffffdf,0,3,892411,858163,59629,789310,892770
7fffdf5febdfffffffdf,4,3,882059,878193,11726,865022,887498
7fffdf5febdfffffffdf,8,3,1186184,1190582,31017,1161999,1223565
7fffdf5febdfffffffdf,12,3,1657400,1670174,22305,1657193,1695930
7fffdf5febdfffffffdf,16,3,2450948,2444674,36282,2405664,2477410
7fffdf5febdfffffffdf,20,3,3758677,3762775,30815,3734214,3795435
7fffdf5febdfffffffdf,24,3,5538667,5545988,28240,5522129,5577169
7fffdf5febdfffffffdf,28,3,7996977,8070404,134302,7988824,8225412
7fffdf5febdfffffffdf,32,3,11192463,11204240,22401,11190183,11230074
7fffdf5febdfffffffdf,36,3,15235004,15235093,40588,15194550,15275727
7fffdf5febdfffffffdf,40,3,20305897,20366428,106978,20303440,20489949
7fffdf5febdfffffffdf,44,3,26584485,26625517,71916,26583509,26708557
7fffdf5febdfffffffdf,48,3,33611933,33615211,155241,33461635,33772067
7fffdf5febdfffffffdf,52,3,42953076,42593312,693636,41793705,43033156
7fffdf5febdfffffffdf,56,3,51365693,51439782,130079,51363673,51589980
7fffdf5febdfffffffdf,60,3,62687038,62872280,392448,62606740,63323063
7fffdf5febdfffffffdf,64,3,75248406,75246214,97036,75148100,75342136
8000000,0,3,858253,843486,59584,777907,894300
8000000,4,3,809486,790906,32356,753544,809688
8000000,8,3,838505,852510,41973,819331,899696
8000000,12,3,849295,860185,21504,846304,884956
8000000,16,3,968401,960029,14789,942953,968733
8000000,20,3,1025717,1032328,36098,999992,1071276
8000000,24,3,1141689,1152538,34074,1125209,1190716
8000000,28,3,1254287,1408308,289442,1228443,1742195
8000000,32,3,1348525,1356032,23690,1337005,1382566
8000000,36,3,1452488,1466744,33764,1442446,1505298
8000000,40,3,1610629,1615415,11055,1607559,1628057
8000000,44,3,1726968,1764592,76179,1714545,1852264
8000000,48,3,1893451,1897407,27343,1872257,1926513
8000000,52,3,2079896,2073080,24784,2045602,2093744
8000000,56,3,2319303,2299640,70596,2221297,2358320
8000000,60,3,2503210,2475669,54519,2412873,2510924
8000000,64,3,2713645,2710246,46094,2662547,2754547
10200800100000,0,3,860675,870073,63923,811369,938175
10200800100000,4,3,837192,859861,46296,829269,913124
10200800100000,8,3,1035243,1037829,16614,1022660,1055586
10200800100000,12,3,1316239,1329779,30714,1308161,1364937
10200800100000,16,3,1835588,1828897,20937,1805432,1845672
