"id","path_id","level_id","component_added","stress","median","verification","diff"
"40540213204004400302",5,15,"m.list_insert.5.inv.52",52,2130696,"gradual",-269130
"40540213204004400302",5,15,"m.list_insert.5.inv.52",56,2375810,"gradual",-240171
"40540213204004400302",5,15,"m.list_insert.5.inv.52",64,2855845,"gradual",-258154
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",0,856286,"gradual",-238366
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",8,848213,"gradual",-229975
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",20,1106208,"gradual",-208927
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",24,1186586,"gradual",-181052
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",40,1633501,"gradual",-198156
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",44,1840259,"gradual",-236696
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",48,2016098,"gradual",-217065
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",56,2397386,"gradual",-26220163
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",60,2537665,"gradual",-41453324
"40d40213224004400302",5,17,"m.appendLemmaLoopBody.3.fold.37",64,2752211,"gradual",-41240528
"44d4021322400c400302",5,19,"m.appendLemmaAfterLoopBody.1.pre.4",16,1097707,"gradual",-205640
"44d4021322400c400302",5,19,"m.appendLemmaAfterLoopBody.1.pre.4",32,1458410,"gradual",-202100
"72627218002053108000",1,20,"m.appendLemmaAfterLoopBody.1.pre.8",56,2419967,"gradual",-262529
"72627218002053108000",1,20,"m.appendLemmaAfterLoopBody.1.pre.8",60,2705602,"gradual",-178197
"72627218002053108000",1,20,"m.appendLemmaAfterLoopBody.1.pre.8",64,2863724,"gradual",-237014
"44d4021322410c400302",5,20,"m.list_insert.3.fold.46",40,1669807,"gradual",-217118
"44d4021322410c400302",5,20,"m.list_insert.3.fold.46",64,2792244,"gradual",-536682
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",0,817842,"gradual",-214672
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",4,805515,"gradual",-247291
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",12,935780,"gradual",-206927
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",16,1023840,"gradual",-181255
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",20,1086272,"gradual",-185352
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",24,1252102,"gradual",-193102
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",28,1316231,"gradual",-238106
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",32,1456050,"gradual",-249296
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",36,1532800,"gradual",-300901
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",40,1651985,"gradual",-264026
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",44,1835731,"gradual",-348612
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",48,1978382,"gradual",-406166
