"conjuncts","type","path_id","level_id"
1651,"static",1,33
2315,"static",1,34
2319,"static",1,35
2324,"static",1,36
2333,"static",1,37
2334,"static",1,38
2432,"static",1,39
2481,"static",1,40
2481,"static",1,41
2487,"static",1,42
2518,"static",1,43
2518,"static",1,44
2523,"static",1,45
2542,"static",1,46
2558,"static",1,47
2563,"static",1,48
2562,"static",1,49
2690,"static",1,50
2728,"static",1,51
2731,"static",1,52
2731,"static",1,53
3899,"static",1,54
3899,"static",1,55
3899,"static",1,56
3933,"static",1,57
3931,"static",1,58
3931,"static",1,59
3940,"static",1,60
3940,"static",1,61
3942,"static",1,62
3944,"static",1,63
4040,"static",1,64
4048,"static",1,65
4083,"static",1,66
4094,"static",1,67
7158,"static",1,68
7195,"static",1,69
7203,"static",1,70
7557,"static",1,71
7646,"static",1,72
7712,"static",1,73
8032,"static",1,74
8065,"static",1,75
8130,"static",1,76
16039,"static",1,77
16041,"static",1,78
16041,"static",7,78
978,"static",2,1
978,"static",2,2
1028,"static",2,3
1029,"static",2,4
1031,"static",2,5
1047,"static",2,6
1063,"static",2,7
1055,"static",2,8
1056,"static",2,9
1062,"static",2,10
1926,"static",2,11
1930,"static",2,12
1881,"static",2,13
1878,"static",2,14
1878,"static",2,15
1942,"static",2,16
1942,"static",2,17
1946,"static",2,18
3066,"static",2,19
3066,"static",2,20
3100,"static",2,21
3104,"static",2,22
3110,"static",2,23
3097,"static",2,24
3101,"static",2,25
3112,"static",2,26
3118,"static",2,27
3118,"static",2,28
3126,"static",2,29
3144,"static",2,30
3210,"static",2,31
3217,"static",2,32
3217,"static",2,33
3217,"static",2,34
3237,"static",2,35
3373,"static",2,36
3373,"static",2,37
3437,"static",2,38
3517,"static",2,39
3549,"static",2,40
3549,"static",2,41
3645,"static",2,42
3644,"static",2,43
3814,"static",2,44
3820,"static",2,45
3857,"static",2,46
3867,"static",2,47
3887,"static",2,48
3892,"static",2,49
3923,"static",2,50
7722,"static",2,51
7763,"static",2,52
8627,"static",2,53
14227,"static",2,54
14231,"static",2,55
14246,"static",2,56
14250,"static",2,57
14258,"static",2,58
14261,"static",2,59
14265,"static",2,60
14263,"static",2,61
14271,"static",2,62
14330,"static",2,63
14332,"static",2,64
14396,"static",2,65
14465,"static",2,66
14469,"static",2,67
14471,"static",2,68
14511,"static",2,69
14479,"static",2,70
14991,"static",2,71
15699,"static",2,72
15705,"static",2,73
15710,"static",2,74
15715,"static",2,75
16037,"static",2,76
16042,"static",2,77
16040,"static",2,78
937,"static",3,1
890,"static",3,2
956,"static",3,3
956,"static",3,4
960,"static",3,5
962,"static",3,6
962,"static",3,7
968,"static",3,8
1000,"static",3,9
1032,"static",3,10
1042,"static",3,11
1058,"static",3,12
1634,"static",3,13
1650,"static",3,14
1668,"static",3,15
1670,"static",3,16
1680,"static",3,17
1698,"static",3,18
1702,"static",3,19
1705,"static",3,20
1725,"static",3,21
3045,"static",3,22
3047,"static",3,23
3047,"static",3,24
3047,"static",3,25
3241,"static",3,26
3238,"static",3,27
3245,"static",3,28
3277,"static",3,29
3285,"static",3,30
3287,"static",3,31
3288,"static",3,32
3300,"static",3,33
3304,"static",3,34
3305,"static",3,35
3305,"static",3,36
3329,"static",3,37
3379,"static",3,38
3387,"static",3,39
3407,"static",3,40
3411,"static",3,41
3443,"static",3,42
3450,"static",3,43
3457,"static",3,44
6810,"static",3,45
6875,"static",3,46
6897,"static",3,47
6931,"static",3,48
6965,"static",3,49
13013,"static",3,50
13657,"static",3,51
13979,"static",3,52
13977,"static",3,53
13981,"static",3,54
13989,"static",3,55
13992,"static",3,56
14016,"static",3,57
14016,"static",3,58
14049,"static",3,59
14049,"static",3,60
14083,"static",3,61
14096,"static",3,62
14226,"static",3,63
14231,"static",3,64
14241,"static",3,65
14245,"static",3,66
15861,"static",3,67
15929,"static",3,68
15996,"static",3,69
15997,"static",3,70
16001,"static",3,71
15969,"static",3,72
16047,"static",3,73
16049,"static",3,74
16016,"static",3,75
16033,"static",3,76
16038,"static",3,77
16039,"static",3,78
962,"static",4,1
994,"static",4,2
1000,"static",4,3
1015,"static",4,4
1056,"static",4,5
1064,"static",4,6
1080,"static",4,7
1084,"static",4,8
1134,"static",4,9
2054,"static",4,10
2054,"static",4,11
2058,"static",4,12
2055,"static",4,13
2055,"static",4,14
2055,"static",4,15
4061,"static",4,16
4058,"static",4,17
4064,"static",4,18
4129,"static",4,19
4129,"static",4,20
4097,"static",4,21
4097,"static",4,22
4161,"static",4,23
4164,"static",4,24
4165,"static",4,25
4167,"static",4,26
4171,"static",4,27
4203,"static",4,28
4237,"static",4,29
4301,"static",4,30
4302,"static",4,31
4302,"static",4,32
4306,"static",4,33
4914,"static",4,34
5044,"static",4,35
5048,"static",4,36
5052,"static",4,37
