"program_id","permutation_id","path_id","level_id","gradual_median","stress","dynamic_median","framing_median","diff","pdiff","example","classification","completion_percentage","context_name","spec_type","expr_type"
6,8911,24,105,7.6262455,32,21.1673735,3.6122915,-6.7167125,-46.8,"avlja","min",55,"main","inv","bool"
6,14040,32,108,9.378545,32,50.298176,3.436806,-15.2257305,-61.9,"avlja","min",56.5,"preOrder","fold","pred"
6,4585,20,146,5.755422,32,42.078307,5.128288,-7.220631,-55.6,"avlja","min",76.4,"main","inv","bool"
6,2470,18,180,24.915417,32,737.880006,687.8935385,-7.5301655,-23.2,"avlja","min",94.2,"main","inv","bool"
6,12970,29,181,21.835727,32,80.605487,8.325315,-7.709074,-26.1,"avlja","min",94.8,"main","inv","bool"
6,14188,32,182,9.7324385,16,62.603835,57.303327,-9.0338875,-48.1,"avlja","min",95.3,"insert","pre","rem_imp"
6,14188,32,182,42.718576,32,735.5575415,694.14338,-141.248873,-76.8,"avlja","min",95.3,"insert","pre","rem_imp"
6,9387,24,184,9.1510925,16,62.1169095,57.096806,-9.03209,-49.7,"avlja","min",96.3,"insert","pre","rem_imp"
6,9387,24,184,40.853124,32,738.2424815,693.2074945,-139.2084545,-77.3,"avlja","min",96.3,"insert","pre","rem_imp"
6,4829,20,187,41.49069,32,737.4255145,696.50791,-29.428844,-41.5,"avlja","min",97.9,"insert","pre","rem_imp"
6,12988,29,187,111.070186,32,292.545314,249.0080215,-68.623423,-38.2,"avlja","min",97.9,"right","pred","rem_imp"
6,7137,22,188,70.493033,32,292.9207495,249.5849725,-108.7203605,-60.7,"avlja","min",98.4,"left","pred","rem_imp"
6,11119,26,188,9.566491,16,62.2995915,56.9939195,-10.144572,-51.5,"avlja","min",98.4,"insert","pre","rem_imp"
6,11119,26,188,42.136032,32,741.6729595,695.3728515,-154.6964985,-78.6,"avlja","min",98.4,"insert","pre","rem_imp"
6,1383,17,189,7.4048665,16,62.678621,57.22333,-12.4535595,-62.7,"avlja","min",99,"insert","pre","rem_imp"
6,1383,17,189,29.7240275,32,742.7880655,698.8726795,-183.0160545,-86,"avlja","min",99,"insert","pre","rem_imp"
6,7144,22,189,41.0843605,32,741.3901495,697.737387,-29.4086725,-41.7,"avlja","min",99,"insert","pre","rem_imp"
6,8274,23,189,27.0278105,32,741.0584675,692.3824525,-11.3402465,-29.6,"avlja","min",99,"right","pred","rem_imp"
6,12421,28,189,27.0124865,32,738.376869,692.548977,-11.4894995,-29.8,"avlja","min",99,"right","pred","rem_imp"
6,13438,30,189,8.363491,16,62.086861,57.428999,-11.139381,-57.1,"avlja","min",99,"preOrder","pre","rem_imp"
6,13438,30,189,37.8483545,32,741.4657455,694.315527,-149.747801,-79.8,"avlja","min",99,"preOrder","pre","rem_imp"
6,5988,21,190,6.9978135,16,62.145923,63.8661765,-12.344405,-63.8,"avlja","min",99.5,"insert","pre","rem_imp"
6,5988,21,190,29.1515125,32,737.030423,693.4051165,-182.1402505,-86.2,"avlja","min",99.5,"insert","pre","rem_imp"
6,11854,27,190,7.1905825,16,61.6797,57.466375,-12.545634,-63.6,"avlja","min",99.5,"insert","pre","rem_imp"
6,11854,27,190,29.193595,32,737.6967175,696.291449,-181.0032075,-86.1,"avlja","min",99.5,"insert","pre","rem_imp"
6,12424,28,190,2.1013475,32,738.79902,691.979401,-24.911139,-92.2,"avlja","min",99.5,"newNode","post","rem_imp"
6,13440,30,190,26.7228565,32,733.8070595,691.113711,-11.125498,-29.4,"avlja","min",99.5,"rightRotate","pre","rem_imp"
6,1395,17,191,2.058245,32,736.052496,688.594768,-27.0361855,-92.9,"avlja","min",100,"insert","post","rem_imp"
6,2541,18,191,2.0163805,32,739.687335,688.919613,-36.398401,-94.8,"avlja","min",100,"leftRotate","pre","rem_imp"
6,3693,19,191,2.0332185,32,739.9144555,694.5409055,-20.2336,-90.9,"avlja","min",100,"avlh","pred","rem_imp"
6,4853,20,191,2.0550555,32,739.53655,693.988584,-36.02242,-94.6,"avlja","min",100,"right","pred","rem_imp"
6,5993,21,191,1.9782545,32,741.0257305,689.660399,-27.173258,-93.2,"avlja","min",100,"insert","post","rem_imp"
6,7156,22,191,2.02515,32,739.9867805,690.60554,-36.4073925,-94.7,"avlja","min",100,"right","pred","rem_imp"
6,8286,23,191,2.0557575,32,739.0008945,690.5485205,-25.2044235,-92.5,"avlja","min",100,"maximum","post","rem_imp"
6,9428,24,191,2.1303875,32,739.7730555,695.0323585,-35.8534105,-94.4,"avlja","min",100,"leftRotate","pre","rem_imp"
6,10371,25,191,1.9662265,32,739.0638535,688.6808505,-35.9830885,-94.8,"avlja","min",100,"left","pred","rem_imp"
6,11132,26,191,1.8637405,16,61.5014755,57.0131465,-7.1860165,-79.4,"avlja","min",100,"maximum","pre","rem_imp"
6,11132,26,191,2.007103,32,739.3058435,690.625072,-37.552198,-94.9,"avlja","min",100,"maximum","pre","rem_imp"
6,11857,27,191,2.0124675,32,742.8635715,687.4170255,-27.1811275,-93.1,"avlja","min",100,"insert","post","rem_imp"
6,13000,29,191,2.8089755,16,61.7736295,57.145417,-39.2429645,-93.3,"avlja","min",100,"main","inv","rem_imp"
6,13000,29,191,2.1602125,32,745.1010905,692.122235,-563.040008,-99.6,"avlja","min",100,"main","inv","rem_imp"
6,13442,30,191,2.015439,32,743.390488,688.499396,-24.7074175,-92.5,"avlja","min",100,"leftRotate","post","rem_imp"
