"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"27dffaffcf7ffb0c6eafebbee0fe5fbb",3,73,"m.tree_get_parent.3.fold.pred_inst.46",32,192153507,"gradual",-83012335,-30.2,"tree_get_parent","fold","pred_inst","composite","min"
"3a7e77eefae8dbbd5dc9fff75bfbc6ff",14,73,"m.tree_has_parent.3.fold.pred_inst.65",16,16120511,"gradual",-8766599,-35.2,"tree_has_parent","fold","pred_inst","composite","min"
"3a7e77eefae8dbbd5dc9fff75bfbc6ff",14,73,"m.tree_has_parent.3.fold.pred_inst.65",32,55477491,"gradual",-30230709,-35.3,"tree_has_parent","fold","pred_inst","composite","min"
"2b5affdbded7d23fecfcb35ffdf7d9fd",17,73,"m.tree_add_right.3.fold.pred_inst.29",32,535652876,"gradual",-22302793,-4,"tree_add_right","fold","pred_inst","composite","min"
"13f77dffdeb07a6feb75bfde63eebfff",23,73.8,"p.context.6.pred.acc.77",32,1446688816,"gradual",-8286440,-0.6,"context","pred","acc","composite","min"
"1ff75efffdfaeb6aafdaecfd87ff3f2d",24,73.8,"m.fixup_ancestors.3.fold.pred_inst.7",16,17724920,"gradual",-8208081,-31.7,"fixup_ancestors","fold","pred_inst","composite","min"
"1ff75efffdfaeb6aafdaecfd87ff3f2d",24,73.8,"m.fixup_ancestors.3.fold.pred_inst.7",32,123212393,"gradual",-53612781,-30.3,"fixup_ancestors","fold","pred_inst","composite","min"
"3fe67bb7dfff74df2e7ebaf7777b3cfb",16,74.6,"m.tree_get_left.1.pre.pred_inst.31",32,1016204331,"gradual",-23745554,-2.3,"tree_get_left","pre","pred_inst","composite","min"
"3b9ff3f1bf7c965ebfff5dd7ff3b7f7d",7,75.4,"m.tree_get_left.3.fold.pred_inst.37",32,265787169,"gradual",-63689084,-19.3,"tree_get_left","fold","pred_inst","composite","min"
"2ffbf57dd3b8bfecfdf7f73fdebfdaf6",11,76.2,"m.main.5.inv.default.10",16,5144875,"gradual",-36489797,-87.6,"main","inv","default","composite","min"
"2ffbf57dd3b8bfecfdf7f73fdebfdaf6",11,76.2,"m.main.5.inv.default.10",32,20280927,"gradual",-277586972,-93.2,"main","inv","default","composite","min"
"3b17bfd7f7fddd7bef3afdb7b7b87dff",22,76.2,"m.tree_get_parent.3.fold.pred_inst.42",32,76093932,"gradual",-12588265,-14.2,"tree_get_parent","fold","pred_inst","composite","min"
"17f77dffdeb07a6feb75bfdfe3eebfff",23,76.2,"p.subtreeHelper.6.pred.default.93",32,1450109685,"gradual",-14123440,-1,"subtreeHelper","pred","default","composite","min"
"3ff376d0a677fcffbf7affffbeffede7",9,77.8,"p.context.6.pred.acc.89",32,148112366,"gradual",-96787379,-39.5,"context","pred","acc","composite","min"
"17f77dffdeb07a6ffb75bfdfebeebfff",23,77.8,"m.tree_has_parent.3.fold.pred_inst.65",16,127723616,"gradual",-25564936,-16.7,"tree_has_parent","fold","pred_inst","composite","min"
"17f77dffdeb07a6ffb75bfdfebeebfff",23,77.8,"m.tree_has_parent.3.fold.pred_inst.65",32,1220800281,"gradual",-233346634,-16,"tree_has_parent","fold","pred_inst","composite","min"
"3bcbfbf5ef7eec7ff67af3eeb5fbf7ff",28,77.8,"m.tree_get_parent.3.fold.pred_inst.42",16,18043056,"gradual",-8225911,-31.3,"tree_get_parent","fold","pred_inst","composite","min"
"3bcbfbf5ef7eec7ff67af3eeb5fbf7ff",28,77.8,"m.tree_get_parent.3.fold.pred_inst.42",32,98888774,"gradual",-43071667,-30.3,"tree_get_parent","fold","pred_inst","composite","min"
"377f7e7fbdf5f7ffefb8e9dafdff6aef",0,78.6,"m.tree_add_left.3.fold.pred_inst.20",32,209712081,"gradual",-13804937,-6.2,"tree_add_left","fold","pred_inst","composite","min"
"3fe67bb7dfff76df3e7ebef7777f7cfb",16,78.6,"m.tree_get_right.3.fold.pred_inst.52",32,1029229856,"gradual",-20888388,-2,"tree_get_right","fold","pred_inst","composite","min"
"2bdafffbdef7f2bfecfcb35fffffd9fd",17,78.6,"p.subtreeHelper.6.pred.acc.106",32,597921794,"gradual",-12406748,-2,"subtreeHelper","pred","acc","composite","min"
"3b17bfd7f7fddd7bef7afdf7b7b87fff",22,78.6,"p.subtreeHelper.6.pred.acc.116",32,363268432,"gradual",-11541507,-3.1,"subtreeHelper","pred","acc","composite","min"
"3ebf3fefffddbfef7e6afbbb63dfdbf9",25,78.6,"m.tree_get_parent.3.fold.pred_inst.46",16,15794569,"gradual",-11408369,-41.9,"tree_get_parent","fold","pred_inst","composite","min"
"3ebf3fefffddbfef7e6afbbb63dfdbf9",25,78.6,"m.tree_get_parent.3.fold.pred_inst.46",32,108015821,"gradual",-81375846,-43,"tree_get_parent","fold","pred_inst","composite","min"
"3bcbfbf5ef7eed7ff67af3eeb5fbf7ff",28,78.6,"m.tree_get_right.3.fold.pred_inst.53",32,81210898,"gradual",-17677876,-17.9,"tree_get_right","fold","pred_inst","composite","min"
"377f7e7fbdf5f7ffffb8e9dafdff6aef",0,79.4,"m.tree_has_parent.3.fold.pred_inst.65",32,155604323,"gradual",-54107758,-25.8,"tree_has_parent","fold","pred_inst","composite","min"
"3fffb7cf4f8f5ddff79f61fcbfff7fff",6,79.4,"m.fixup_ancestors.3.fold.pred_inst.7",32,22168300,"gradual",-51017904,-69.7,"fixup_ancestors","fold","pred_inst","composite","min"
"1ff75efffdfaebeaefdafdfdc7ff3f7d",24,79.4,"p.context.6.pred.acc.85",32,545263139,"gradual",-8267264,-1.5,"context","pred","acc","composite","min"
"17d7eedfbff6c3bfdffffbd7ffe9fe3d",29,79.4,"m.tree_get_left.3.fold.pred_inst.37",32,211788693,"gradual",-18751457,-8.1,"tree_get_left","fold","pred_inst","composite","min"
"27fffeffdf7ffb4c6fefebbee8fe7ffb",3,80.2,"m.tree_has_right.3.fold.pred_inst.69",16,16811897,"gradual",-11322144,-40.2,"tree_has_right","fold","pred_inst","composite","min"
"27fffeffdf7ffb4c6fefebbee8fe7ffb",3,80.2,"m.tree_has_right.3.fold.pred_inst.69",32,107963025,"gradual",-82322804,-43.3,"tree_has_right","fold","pred_inst","composite","min"
"3ff376d0a67ffcffbf7affffbffffde7",9,80.2,"m.tree_get_parent.3.fold.pred_inst.42",32,99125239,"gradual",-52085620,-34.4,"tree_get_parent","fold","pred_inst","composite","min"
"3f17bfd7f7fddd7bef7afdf7b7ba7fff",22,80.2,"m.create_tree.3.fold.pred_inst.3",32,1494847201,"gradual",-8299278,-0.6,"create_tree","fold","pred_inst","composite","min"
"3fe67bb7dfff76ffbe7ebef7777f7dfb",16,81,"p.subtreeHelper.6.pred.acc.117",32,1072019065,"gradual",-9040386,-0.8,"subtreeHelper","pred","acc","composite","min"
"259fee7ef6dfffbfbedf5ce9ffffdfff",19,81,"m.tree_get_parent.3.fold.pred_inst.46",16,13086368,"gradual",-8581555,-39.6,"tree_get_parent","fold","pred_inst","composite","min"
"259fee7ef6dfffbfbedf5ce9ffffdfff",19,81,"m.tree_get_parent.3.fold.pred_inst.46",32,83305480,"gradual",-59438867,-41.6,"tree_get_parent","fold","pred_inst","composite","min"
"3f57bfd7f7fddd7bef7afdf7b7ba7fff",22,81,"m.fixup_ancestors.3.fold.pred_inst.7",16,140888025,"gradual",-12334192,-8,"fixup_ancestors","fold","pred_inst","composite","min"
"3f57bfd7f7fddd7bef7afdf7b7ba7fff",22,81,"m.fixup_ancestors.3.fold.pred_inst.7",32,1388483385,"gradual",-106363816,-7.1,"fixup_ancestors","fold","pred_inst","composite","min"
"17f77dffdeb0fb6ffb7dbfdfebeeffff",23,81,"m.tree_get_right.3.fold.pred_inst.53",32,1173468507,"gradual",-56427523,-4.6,"tree_get_right","fold","pred_inst","composite","min"
"3ffff5bfddfa7f9f77f5fb9fefacdf7f",30,81,"m.main.5.inv.default.10",16,6822026,"gradual",-8237844,-54.7,"main","inv","default","composite","min"
"3ffff5bfddfa7f9f77f5fb9fefacdf7f",30,81,"m.main.5.inv.default.10",32,18868230,"gradual",-24967574,-57,"main","inv","default","composite","min"
"3f9ff7f1bf7c9f7fbfff5fd7ff3b7f7f",7,81.7,"m.tree_has_left.3.fold.pred_inst.61",16,11688935,"gradual",-12315285,-51.3,"tree_has_left","fold","pred_inst","composite","min"
"3f9ff7f1bf7c9f7fbfff5fd7ff3b7f7f",7,81.7,"m.tree_has_left.3.fold.pred_inst.61",32,130221511,"gradual",-139503017,-51.7,"tree_has_left","fold","pred_inst","composite","min"
"3f57bfd7f7fddd7fef7afdf7b7ba7fff",22,81.7,"m.tree_has_left.2.post.pred_inst.59",16,104691230,"gradual",-36196795,-25.7,"tree_has_left","post","pred_inst","composite","min"
"3f57bfd7f7fddd7fef7afdf7b7ba7fff",22,81.7,"m.tree_has_left.2.post.pred_inst.59",32,1026158666,"gradual",-362324719,-26.1,"tree_has_left","post","pred_inst","composite","min"
"377f7e7fbdfdffffffb8e9fafdff6bef",0,82.5,"m.tree_get_parent.3.fold.pred_inst.42",32,103055311,"gradual",-53959157,-34.4,"tree_get_parent","fold","pred_inst","composite","min"
"3fffbfcf6f8f5ddff79f65fdbfff7fff",6,82.5,"m.tree_add_left.3.fold.pred_inst.18",32,13983274,"gradual",-8537718,-37.9,"tree_add_left","fold","pred_inst","composite","min"
