"permutation_id","program_name","percent_specified","mean"
5923,"bst",24,0.004405393
5923,"bst",24,0.187048197
5924,"composite",6.2,0.003359841
5924,"composite",6.2,0.240515867
5924,"composite",6.2,0.002154708
5924,"composite",6.2,0.110303781
5926,"avlja",92.7,0.004470949
5926,"avlja",92.7,91.053620818
5926,"avlja",92.7,0.092576841
5926,"avlja",92.7,4.801914006
5927,"list",49.5,0.001974802
5927,"list",49.5,3.032768055
5927,"list",49.5,0.026820343
5927,"list",49.5,0.270706069
5929,"bst",24.4,0.005017652
5929,"bst",24.4,0.228253086
5929,"bst",24.4,0.004584551
5929,"bst",24.4,0.188467701
5930,"composite",6.8,0.003031944
5930,"composite",6.8,0.231478651
5930,"composite",6.8,0.002095041
5930,"composite",6.8,0.112350791
5932,"list",50.5,0.001886233
5932,"list",50.5,3.014981972
5932,"list",50.5,0.026830386
5932,"list",50.5,0.272188135
5934,"avlja",93.2,0.004620986
5934,"avlja",93.2,92.901276906
5934,"avlja",93.2,0.10002416
5934,"avlja",93.2,5.355419343
5935,"bst",24.9,0.00517024
5935,"bst",24.9,0.225160293
5935,"bst",24.9,0.00466789
5935,"bst",24.9,0.187997651
5936,"composite",7.5,0.003027318
5936,"composite",7.5,0.237901671
5936,"composite",7.5,0.002105884
5936,"composite",7.5,0.112481812
5939,"bst",25.3,0.005690451
5939,"bst",25.3,0.22949128
5939,"bst",25.3,0.004850321
5939,"bst",25.3,0.190232371
5940,"avlja",93.7,0.004408395
5940,"avlja",93.7,99.118055919
5940,"avlja",93.7,0.099502453
5940,"avlja",93.7,5.361188401
5941,"composite",8.1,0.003232111
5941,"composite",8.1,0.240519517
5941,"composite",8.1,0.002114795
5941,"composite",8.1,0.11214172
5942,"list",51.4,0.001924291
5942,"list",51.4,3.046752294
5942,"list",51.4,0.027797711
5942,"list",51.4,0.274460603
5944,"avlja",94.2,0.004411623
5944,"avlja",94.2,93.592614224
5944,"avlja",94.2,0.09919633
5944,"avlja",94.2,5.387352382
5945,"bst",25.8,0.005019227
5945,"bst",25.8,0.216789425
5945,"bst",25.8,0.004637743
5945,"bst",25.8,0.189682845
5947,"list",52.3,0.001932568
5947,"list",52.3,3.063836575
5947,"list",52.3,0.025602408
5947,"list",52.3,0.260801812
5948,"composite",8.7,0.003120788
5948,"composite",8.7,0.231420696
5948,"composite",8.7,0.002151286
5948,"composite",8.7,0.11274813
5950,"avlja",94.8,0.004465926
5950,"avlja",94.8,95.463592745
5950,"avlja",94.8,0.099411918
5950,"avlja",94.8,5.359248766
5951,"composite",9.3,0.003079493
5951,"composite",9.3,0.237102909
5951,"composite",9.3,0.002114125
5951,"composite",9.3,0.113424143
5952,"list",53.2,0.002170538
5952,"list",53.2,4.013251731
5952,"list",53.2,0.029006677
5952,"list",53.2,0.272751083
5953,"bst",26.3,0.005061491
5953,"bst",26.3,0.218466984
5953,"bst",26.3,0.004633794
5953,"bst",26.3,0.191274407
5956,"avlja",95.3,0.004415523
5956,"avlja",95.3,95.197257464
5956,"avlja",95.3,0.106066344
5956,"avlja",95.3,5.048910633
5957,"bst",26.7,0.005063791
5957,"bst",26.7,0.227013837
5957,"bst",26.7,0.004732702
5957,"bst",26.7,0.192787026
5958,"list",54.1,0.001834107
5958,"list",54.1,3.874020385
5958,"list",54.1,0.029960706
5958,"list",54.1,0.291346904
5959,"composite",9.9,0.003089551
5959,"composite",9.9,0.239429246
5959,"composite",9.9,0.002199991
5959,"composite",9.9,0.11367481
5962,"avlja",95.8,0.004559645
5962,"avlja",95.8,92.608364781
5962,"avlja",95.8,0.105686208
5962,"avlja",95.8,5.648279258
5964,"composite",10.6,0.003143643
5964,"composite",10.6,0.243044675
5964,"composite",10.6,0.002225102
5964,"composite",10.6,0.113047431
5965,"bst",27.2,0.005260883
5965,"bst",27.2,0.224119045
5965,"bst",27.2,0.004728534
5965,"bst",27.2,0.193497704
5966,"list",55,0.001797617
5966,"list",55,3.854498185
5966,"list",55,0.02985998
5966,"list",55,0.290915201
5968,"avlja",96.3,0.004394431
5968,"avlja",96.3,93.873323444
5968,"avlja",96.3,0.105955793
5968,"avlja",96.3,5.650506733
