"id","path_id","level_id","stress","diff_grad","percent_diff_grad"
"0",0,0,8,-0.000109246,-8.31910910311389
"0",0,0,16,-9.11435000000001e-05,-7.08968763867785
"0",0,0,32,-0.0006675805,-36.9026465266083
"400000000000000000000000000000000000000000000000000000000000000000",0,1,8,-9.89999999999975e-07,-0.0775278179991382
"400000000000000000000000000000000000000000000000000000000000000000",0,1,16,-1.5274e-05,-1.15489017428453
"400000000000000000000000000000000000000000000000000000000000000000",0,1,32,0.000196117,10.2014866038418
"400000000000000000000000000000000000004000000000000000000000000000",0,2,8,-8.31500000000006e-06,-0.625333489259347
"400000000000000000000000000000000000004000000000000000000000000000",0,2,16,-3.59749999999989e-06,-0.267923505325693
"400000000000000000000000000000000000004000000000000000000000000000",0,2,32,-7.86249999999993e-06,-0.427923294375302
"400000000000000000000000002000000000004000000000000000000000000000",0,3,8,2.97769999999999e-05,2.29869795516469
"400000000000000000000000002000000000004000000000000000000000000000",0,3,16,-5.22400000000007e-06,-0.391412599379769
"400000000000000000000000002000000000004000000000000000000000000000",0,3,32,0.000198499,10.5203714637329
"400000000000000000000000002000000000004000800000000000000000000000",0,4,8,-9.58350000000001e-05,-7.26088460281064
"400000000000000000000000002000000000004000800000000000000000000000",0,4,16,-9.53099999999991e-06,-0.754035108399956
"400000000000000000000000002000000000004000800000000000000000000000",0,4,32,0.000263909,13.4820376748544
"400000000000000000000000002000000000004000800000000080000000000000",0,5,8,1.44999999999985e-06,0.117285021610764
"400000000000000000000000002000000000004000800000000080000000000000",0,5,16,-5.10849999999993e-06,-0.38724637769048
"400000000000000000000000002000000000004000800000000080000000000000",0,5,32,0.0002846435,14.9231700021967
"400000000000000000000000002000000000004000800010000080000000000000",0,6,8,-8.931e-06,-0.712821407149844
"400000000000000000000000002000000000004000800010000080000000000000",0,6,16,4.39155e-05,3.57615457215705
"400000000000000000000000002000000000004000800010000080000000000000",0,6,32,0.00013931,7.65623394188604
"400000000000000000800000002000000000004000800010000080000000000000",0,7,8,-3.12555e-05,-2.47975881151199
"400000000000000000800000002000000000004000800010000080000000000000",0,7,16,-6.24620000000001e-05,-4.6921556895449
"400000000000000000800000002000000000004000800010000080000000000000",0,7,32,-0.000202853,-9.41940238177106
"400000000000000000800000002000000000004004800010000080000000000000",0,8,8,-5.70000000000084e-07,-0.0446172602262631
"400000000000000000800000002000000000004004800010000080000000000000",0,8,16,-1.4516e-05,-1.12141287515784
"400000000000000000800000002000000000004004800010000080000000000000",0,8,32,-3.725e-05,-2.02638103307353
"400000400000000000800000002000000000004004800010000080000000000000",0,9,8,-6.3776e-05,-5.01305023308058
"400000400000000000800000002000000000004004800010000080000000000000",0,9,16,-6.09175000000001e-05,-4.5822304162163
"400000400000000000800000002000000000004004800010000080000000000000",0,9,32,-9.72745e-05,-5.13437050525844
"400000400000000000800000002000010000004004800010000080000000000000",0,10,8,-0.000280374,-17.4924570821074
"400000400000000000800000002000010000004004800010000080000000000000",0,10,16,-0.000878705,-39.0176333211446
"400000400000000000800000002000010000004004800010000080000000000000",0,10,32,-0.0103365855,-82.8191156619696
"400000400000000000800000002000010000004004800011000080000000000000",0,11,8,-0.0003213875,-19.3560927839739
"400000400000000000800000002000010000004004800011000080000000000000",0,11,16,-0.0008885825,-39.4637820735592
"400000400000000000800000002000010000004004800011000080000000000000",0,11,32,-0.0104264945,-83.124981962272
"400000400000000000800000002800010000004004800011000080000000000000",0,12,8,-0.0003754335,-22.4693961095624
"400000400000000000800000002800010000004004800011000080000000000000",0,12,16,-0.0008828855,-38.2321590612116
"400000400000000000800000002800010000004004800011000080000000000000",0,12,32,-0.0111207235,-83.6973416533515
