"id","path_id","level_id","component_added","stress","median","verification","classification","example"
"0",4,0,NA,64,0.873349,"gradual","worst","bst"
"400000000",4,0.65359477124183,"m.tree_remove_lemma_left2.3.fold.pred_inst.118",64,3.424706,"gradual","worst","bst"
"400000004",4,1.30718954248366,"p.bstRemove.6.pred.acc.150",64,3.154323,"gradual","worst","bst"
"80000000000000000400000004",4,1.96078431372549,"m.tree_max_helper.1.pre.default.49",64,3.2323,"gradual","worst","bst"
"82000000000000000400000004",4,2.61437908496732,"m.tree_max_helper.3.fold.pred_inst.55",64,3.29356,"gradual","worst","bst"
"8000000082000000000000000400000004",4,3.26797385620915,"m.tree_add.2.post.pred_inst.17",64,3.212057,"gradual","worst","bst"
"2008000000082000000000000000400000004",4,3.92156862745098,"m.create_tree_helper.3.fold.pred_inst.7",64,3.370369,"gradual","worst","bst"
"2008000000082000800000000000400000004",4,4.57516339869281,"m.tree_min.3.fold.pred_inst.69",64,3.218449,"gradual","worst","bst"
"102008000000082000800000000000400000004",4,5.22875816993464,"m.create_tree.1.pre.default.0",64,3.241358,"gradual","worst","bst"
"102008000000082000800000000001400000004",4,5.88235294117647,"m.tree_remove_lemma_left2.3.fold.pred_inst.116",64,3.216955,"gradual","worst","bst"
"102008000000082000800000000001401000004",4,6.5359477124183,"m.tree_remove_lemma_min.3.fold.pred_inst.128",64,3.26926,"gradual","worst","bst"
"102008200000082000800000000001401000004",4,7.18954248366013,"m.tree_add_helper.2.post.pred_inst.23",64,3.743922,"gradual","worst","bst"
"102008202000082000800000000001401000004",4,7.84313725490196,"m.tree_contains_helper.2.post.pred_inst.31",64,4.821016,"gradual","worst","bst"
"102008202000082000801000000001401000004",4,8.49673202614379,"m.tree_min_helper.3.fold.pred_inst.80",64,4.796356,"gradual","worst","bst"
"102008202000082000801000000003401000004",4,9.15032679738562,"m.tree_remove_lemma_left2.4.unfold.pred_inst.115",64,4.698689,"gradual","worst","bst"
"102008202000092000801000000003401000004",4,9.80392156862745,"m.tree_max_helper.2.post.pred_inst.52",64,4.956367,"gradual","worst","bst"
"102008202000093000801000000003401000004",4,10.4575163398693,"m.tree_max_helper.4.unfold.pred_inst.56",64,4.935203,"gradual","worst","bst"
"102008202000093040801000000003401000004",4,11.1111111111111,"m.tree_max_lemma.2.post.pred_inst.62",64,4.681453,"gradual","worst","bst"
"1020082020000930c0801000000003401000004",4,11.7647058823529,"m.tree_max_lemma.1.pre.pred_inst.61",64,4.673431,"gradual","worst","bst"
"1020082020000930c0801000000003401010004",4,12.4183006535948,"p.bst.6.pred.pred_inst.136",64,4.859018,"gradual","worst","bst"
"1020082020040930c0801000000003401010004",4,13.0718954248366,"m.tree_main_lemma_bst.4.unfold.pred_inst.42",64,4.826131,"gradual","worst","bst"
"1020082020040930c0801000000023401010004",4,13.7254901960784,"m.tree_remove_lemma_left.3.fold.pred_inst.111",64,4.729139,"gradual","worst","bst"
"1020082020040930c0801000000023411010004",4,14.3790849673203,"m.tree_remove_lemma_min.1.pre.default.124",64,4.734219,"gradual","worst","bst"
