"id","path_id","level_id","stress","diff_grad","percent_diff_grad"
"0",0,0,16,-95495,-10.310875682119
"0",0,0,32,-668732,-45.6796633787808
"0",0,0,64,-2404730,-73.357902600883
"400000000000000000",0,1,16,26571,2.66643786540465
"400000000000000000",0,1,32,53984,3.60948264795242
"400000000000000000",0,1,64,-1863,-0.056277493050651
"100000000400000000000000000",0,2,16,-102005,-9.56354854013025
"100000000400000000000000000",0,2,32,-120697,-7.7880890251677
"100000000400000000000000000",0,2,64,-152859,-4.73710095334548
"100000000400000008000000000",0,3,16,-169567,-15.6813078684437
"100000000400000008000000000",0,3,32,-231705,-13.8487772457008
"100000000400000008000000000",0,3,64,-673324,-17.0537585822963
"400000000100000000400000008000000000",0,4,16,54761,5.83336440285271
"400000000100000000400000008000000000",0,4,32,-111155,-6.86780002409646
"400000000100000000400000008000000000",0,4,64,-507339,-13.1817278350033
"20400000000100000000400000008000000000",0,5,16,-55220,-5.44074787129015
"20400000000100000000400000008000000000",0,5,32,-189716,-11.2562907093891
"20400000000100000000400000008000000000",0,5,64,-208775,-5.40654135178683
"20400020000100000000400000008000000000",0,6,16,-1115890,-49.9052333210198
"20400020000100000000400000008000000000",0,6,32,-8224204,-82.8631156242267
"20400020000100000000400000008000000000",0,6,64,-67880633,-94.9940625066298
"20400020000100002000400000008000000000",0,7,16,-1260632,-56.1406446435498
"20400020000100002000400000008000000000",0,7,32,-8304203,-84.0963118227977
"20400020000100002000400000008000000000",0,7,64,-67047699,-95.0664437285599
"20400020000100402000400000008000000000",0,8,16,-1296395,-57.1166803467019
"20400020000100402000400000008000000000",0,8,32,-8362048,-84.3679292322401
"20400020000100402000400000008000000000",0,8,64,-67150432,-95.023655219095
"20401020000100402000400000008000000000",0,9,16,-1264503,-56.7377550837267
"20401020000100402000400000008000000000",0,9,32,-8375511,-84.5596528167247
"20401020000100402000400000008000000000",0,9,64,-66937669,-95.1212023306671
"20401020000100402000480000008000000000",0,10,16,-1203710,-54.6726142758062
"20401020000100402000480000008000000000",0,10,32,-8575383,-84.8953092065866
"20401020000100402000480000008000000000",0,10,64,-67401994,-95.0443789829591
"20401020000110402000480000008000000000",0,11,16,-1173450,-52.1129863012725
"20401020000110402000480000008000000000",0,11,32,-8423551,-83.8608782983777
"20401020000110402000480000008000000000",0,11,64,-68196289,-95.0505820659674
"20401020400110402000480000008000000000",0,12,16,-1138391,-50.4218388880178
"20401020400110402000480000008000000000",0,12,32,-8304099,-83.6286906233556
"20401020400110402000480000008000000000",0,12,64,-67187699,-94.9721097689023
"20401020400110402000480000008200000000",0,13,16,-1290421,-56.9334695761208
"20401020400110402000480000008200000000",0,13,32,-8380876,-83.2912796089178
"20401020400110402000480000008200000000",0,13,64,-67169277,-95.0249819221408
"20401020400110402000480000008200000200",0,14,16,-1235779,-55.4581523478117
"20401020400110402000480000008200000200",0,14,32,-8444437,-84.2478954829442
"20401020400110402000480000008200000200",0,14,64,-67246993,-95.0929235158375
"20401020400110406000480000008200000200",0,15,16,-1214975,-54.6747169906417
"20401020400110406000480000008200000200",0,15,32,-8286905,-83.7481882311375
"20401020400110406000480000008200000200",0,15,64,-68410792,-95.1963644065179
"20401120400110406000480000008200000200",0,16,16,-1255903,-56.0631687868306
"20401120400110406000480000008200000200",0,16,32,-8361815,-83.8759679502856
"20401120400110406000480000008200000200",0,16,64,-66866764,-94.8851546006131
"20401120400110446000480000008200000200",0,17,16,-1087813,-49.415609931156
"20401120400110446000480000008200000200",0,17,32,-8420240,-83.4911721013375
"20401120400110446000480000008200000200",0,17,64,-67550443,-94.8306581927501
"20401120400110446000680000008200000200",0,18,16,-1084520,-48.6502878141912
"20401120400110446000680000008200000200",0,18,32,-8250394,-83.2197127493572
"20401120400110446000680000008200000200",0,18,64,-67234155,-94.9876371121779
"22401120400110446000680000008200000200",0,19,16,-1230902,-55.4285835225756
