"prefix","stress","pdiff_grad_mean","pdiff_grad_sd","pdiff_grad_max","pdiff_grad_min","steps_impr_mean","steps_impr_sd","steps_impr_max","steps_impr_min","percent_paths_complete"
"avlja","32","-14.4","29.4","170","-88.8","80.6","14.8","95.3","50.8","0"
"avlja","64","-16.1","50.5","256.3","-96","84.3","15.5","98.4","55.5","0"
"avlja","128","-11.5","74","384.7","-98.6","82.2","16.5","99.5","55","0"
"bst","32","-24.7","35","144.5","-93.8","74.2","9","89.4","60.8","0"
"bst","64","-23.9","46.8","301.3","-98.5","74.7","9.3","92.2","59.4","0"
"bst","128","-21.7","55.6","436.1","-99.6","74.7","11.9","96.3","51.6","0"
"composite","32","-34.4","40.1","141.7","-99.1","80.3","10.7","94.4","60.9","0"
"composite","64","-33.1","50.1","258.6","-99.8","80","12.2","96.3","50.9","0"
"composite","128","-30.1","63.9","419","-100","80.4","13","96.3","48.4","0"
"list","32","-18","27.7","138.9","-95.7","78.8","14.8","96.3","34.9","0"
"list","64","-21","48.6","389","-99.8","85.2","15.1","100","37.6","6.25"
"list","128","-20.7","59.7","603.3","-100","85.8","15","99.1","42.2","0"
