id,iter,95th,5th,median,mean,stdev,min,max
80000000000000000,10,2075672109,2075672109,2075672109,2075672109,0,2075672109,2075672109
2000000000000000000000000000000000000000000000080000000000000000,10,554757764,554757764,554757764,554757764,0,554757764,554757764
2000000000200000000000000000000000000000000000080000000000000000,10,526102230,526102230,526102230,526102230,0,526102230,526102230
82000000000200000000000000000000000000000000000080000000000000000,10,478419735,478419735,478419735,478419735,0,478419735,478419735
82000000000200000000000001000000000000000000000080000000000000000,10,436963461,436963461,436963461,436963461,0,436963461,436963461
82000000000200000000000001800000000000000000000080000000000000000,10,416504412,416504412,416504412,416504412,0,416504412,416504412
82000000000200000000000001800000000000000002000080000000000000000,10,425003517,425003517,425003517,425003517,0,425003517,425003517
82000000000200000000000001800002000000000002000080000000000000000,10,371041585,371041585,371041585,371041585,0,371041585,371041585
82000000000200000000000001802002000000000002000080000000000000000,10,382047158,382047158,382047158,382047158,0,382047158,382047158
82000000000200000000000001802002000000000402000080000000000000000,10,390163937,390163937,390163937,390163937,0,390163937,390163937
82000000000200000000000001802002000000000402000090000000000000000,10,383879440,383879440,383879440,383879440,0,383879440,383879440
82000000000200000000000041802002000000000402000090000000000000000,10,364047795,364047795,364047795,364047795,0,364047795,364047795
82000000000200000000000041802002000000001402000090000000000000000,10,372586138,372586138,372586138,372586138,0,372586138,372586138
820000000002000000000000418020020000000014020000b0000000000000000,10,369912815,369912815,369912815,369912815,0,369912815,369912815
820000000002000000000000418020120000000014020000b0000000000000000,10,356853258,356853258,356853258,356853258,0,356853258,356853258
820000000002000000100000418020120000000014020000b0000000000000000,10,366246641,366246641,366246641,366246641,0,366246641,366246641
820000000002000000100000418020120800000014020000b0000000000000000,10,404294617,404294617,404294617,404294617,0,404294617,404294617
820000000002000000110000418020120800000014020000b0000000000000000,10,353826908,353826908,353826908,353826908,0,353826908,353826908
820000000002000000130000418020120800000014020000b0000000000000000,10,355742667,355742667,355742667,355742667,0,355742667,355742667
820000000002000000130000458020120800000014020000b0000000000000000,10,371020361,371020361,371020361,371020361,0,371020361,371020361
820000000042000000130000458020120800000014020000b0000000000000000,10,334985423,334985423,334985423,334985423,0,334985423,334985423
820000000042000000130000458020120800040014020000b0000000000000000,10,346620249,346620249,346620249,346620249,0,346620249,346620249
820000000042000000130000458020120a00040014020000b0000000000000000,10,346348265,346348265,346348265,346348265,0,346348265,346348265
c20000000042000000130000458020120a00040014020000b0000000000000000,10,364171575,364171575,364171575,364171575,0,364171575,364171575
c20000000042000800130000458020120a00040014020000b0000000000000000,10,370435970,370435970,370435970,370435970,0,370435970,370435970
