"prefix","stress","pdiff_grad_mean","pdiff_grad_sd","pdiff_grad_max","pdiff_grad_min","steps_impr_mean","steps_impr_sd","steps_impr_max","steps_impr_min","percent_paths_complete"
"avlja","32","48.9","76.3","562.4","-93.4","27.3","8.9","50.3","14.7","0"
"avlja","64","2.8","49.7","447.2","-96.1","58.1","10","78","41.9","0"
"avlja","128","-8.5","42.3","278.5","-97.5","67.5","12.1","85.3","43.5","0"
"bst","32","15.9","67.8","240.3","-95.1","48.9","5.8","56.7","37.8","0"
"bst","64","-9.6","45.8","217.2","-96.9","68.1","5.7","77.9","57.6","0"
"bst","128","-21.6","42.3","236.2","-99.1","74.3","7.6","86.2","60.4","0"
"composite","32","-3.2","64.5","256.8","-98","60.4","7.3","73.3","47.8","0"
"composite","64","-28.7","51","245.5","-99.6","79.4","8.3","91.3","64","0"
"composite","128","-34.3","48.5","252.5","-99.9","79.5","8.5","93.2","59.6","0"
"list","32","14","59.2","238.6","-96","46.4","8.4","59.6","29.4","0"
"list","64","-16.6","34.9","198.1","-99.6","74.1","9.7","89.9","56","0"
"list","128","-21.8","31.3","134.6","-100","83.9","9.5","98.2","63.3","0"
