id,stress,iter,median,mean,stdev,min,max
678244cc68f696dcf42954437637ae3375ffcd,0,33061667,22626389,34131567,2779709,62037792
678244cc68f696dcf42954437637ae3375ffcd,2,33011000,20664222,30829032,2719541,56262125
678244cc68f696dcf42954437637ae3375ffcd,4,33422083,25473166,38323284,3272417,69725000
678244cc68f696dcf42954437637ae3375ffcd,6,33206250,21739277,32257673,3024500,58987083
678244cc68f696dcf42954437637ae3375ffcd,8,33538750,25203361,37610193,3439500,68631834
678244cc68f696dcf42954437637ae3375ffcd,10,33583209,24421236,36131464,3538250,66142250
678244cc68f696dcf42954437637ae3375ffcd,12,33824917,25215180,37198549,3652375,68168250
678244cc68f696dcf42954437637ae3375ffcd,14,34599292,24179736,34364807,4080250,63859667
678244cc68f696dcf42954437637ae3375ffcd,16,33846833,22956722,33467997,3421875,61601458
678244cc68f696dcf42954437637ae3375ffcd,18,34317750,24042625,34449040,3989625,63820500
678244cc68f696dcf42954437637ae3375ffcd,20,35754166,25657805,34841881,5330250,65889000
678244cc68f696dcf42954437637ae3375ffcd,22,34982667,25282569,35641752,4428166,66436875
678244cc68f696dcf42954437637ae3375ffcd,24,35202083,25132208,34846338,4825834,65368708
678244cc68f696dcf42954437637ae3375ffcd,26,35148375,25989999,36353300,4854791,67966833
678244cc68f696dcf42954437637ae3375ffcd,28,38554291,28278250,34840217,7774709,68505750
678244cc68f696dcf42954437637ae3375ffcd,30,37010625,26675722,34516246,6486041,66530500
678244cc68f696dcf42954437637ae3375ffcd,32,37975792,29917347,38577928,7314584,74461666
bb0d79a8642c259ad82a1b1449814ad78318b6,0,33147292,21471403,31988428,2858834,58408083
bb0d79a8642c259ad82a1b1449814ad78318b6,2,33301125,23848944,35650217,3231458,65014250
bb0d79a8642c259ad82a1b1449814ad78318b6,4,33294583,22560986,33695416,2919875,61468500
bb0d79a8642c259ad82a1b1449814ad78318b6,6,33246000,22433013,33447163,2998833,61054208
bb0d79a8642c259ad82a1b1449814ad78318b6,8,33336166,23487374,35074638,3138041,63987917
bb0d79a8642c259ad82a1b1449814ad78318b6,10,33353209,22371916,33204734,3049500,60713041
bb0d79a8642c259ad82a1b1449814ad78318b6,12,33488625,23322028,34534992,3278042,63199417
bb0d79a8642c259ad82a1b1449814ad78318b6,14,33450542,21362125,31356153,3067416,57568417
bb0d79a8642c259ad82a1b1449814ad78318b6,16,33438167,23086028,34210155,3231584,62588333
bb0d79a8642c259ad82a1b1449814ad78318b6,18,33493875,22741208,33636580,3148875,61580875
bb0d79a8642c259ad82a1b1449814ad78318b6,20,33782041,23463333,34338352,3494459,63113500
bb0d79a8642c259ad82a1b1449814ad78318b6,22,33779459,23620902,34629054,3476541,63606708
bb0d79a8642c259ad82a1b1449814ad78318b6,24,33733125,23455027,34486090,3356416,63275541
bb0d79a8642c259ad82a1b1449814ad78318b6,26,33364083,22916083,33877002,3350291,62033875
bb0d79a8642c259ad82a1b1449814ad78318b6,28,34073917,24027139,34935690,3640875,64366625
bb0d79a8642c259ad82a1b1449814ad78318b6,30,34239416,25154958,36457386,3973417,67252042
bb0d79a8642c259ad82a1b1449814ad78318b6,32,34087958,23306833,33496056,3848042,61984500
678b44deeff7d6fcf46b5d537f37ef3f7fffed,0,33387792,25064181,37672851,3239792,68564959
678b44deeff7d6fcf46b5d537f37ef3f7fffed,2,33247042,23472305,35105941,3160750,64009125
678b44deeff7d6fcf46b5d537f37ef3f7fffed,4,33428791,24742763,37355043,2923833,67875667
678b44deeff7d6fcf46b5d537f37ef3f7fffed,6,33361375,25661597,38636665,3348042,70275375
678b44deeff7d6fcf46b5d537f37ef3f7fffed,8,33527208,23712639,35181342,3274417,64336292
678b44deeff7d6fcf46b5d537f37ef3f7fffed,10,33426084,24230958,36106607,3343542,65923250
678b44deeff7d6fcf46b5d537f37ef3f7fffed,12,33336542,22951430,34113183,3175916,62341833
678b44deeff7d6fcf46b5d537f37ef3f7fffed,14,33804833,24878458,36687268,3589458,67241084
678b44deeff7d6fcf46b5d537f37ef3f7fffed,16,33818250,25446680,37615148,3641000,68880792
678b44deeff7d6fcf46b5d537f37ef3f7fffed,18,34025375,25699653,37687042,3856792,69216792
678b44deeff7d6fcf46b5d537f37ef3f7fffed,20,34613292,25367708,36512937,3962292,67527542
678b44deeff7d6fcf46b5d537f37ef3f7fffed,22,34119000,24372250,35396010,3754250,65243500
678b44deeff7d6fcf46b5d537f37ef3f7fffed,24,34451500,25548166,36895414,4042333,68150667
678b44deeff7d6fcf46b5d537f37ef3f7fffed,26,34707875,25762486,36787718,4338833,68240750
678b44deeff7d6fcf46b5d537f37ef3f7fffed,28,35522959,26834778,37409794,4950750,70030625
678b44deeff7d6fcf46b5d537f37ef3f7fffed,30,35496709,26547292,36976799,4902125,69243042
678b44deeff7d6fcf46b5d537f37ef3f7fffed,32,35808667,26275541,35885833,5306041,67711917
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,0,33163417,23565611,35482036,2996792,64536625
