permutation_id,conj_elim,conj_total
7,531,722
10,537,732
12,537,733
13,541,739
15,541,739
17,541,739
19,545,743
21,551,757
23,572,778
24,574,780
26,622,844
28,625,843
30,625,843
32,636,854
34,660,878
36,694,920
38,698,924
40,758,1016
43,758,1016
45,762,1020
47,794,1052
48,824,1098
51,653,828
53,653,828
55,655,836
57,673,856
60,673,856
62,702,891
65,702,891
68,705,893
70,715,918
73,722,926
76,722,926
79,726,934
83,746,958
86,749,963
89,758,989
92,828,1164
95,846,1184
99,852,1191
102,868,1207
105,919,1336
108,937,1358
111,945,1370
114,945,1370
116,945,1370
120,977,1430
123,977,1431
126,1165,1807
131,997,1470
132,998,1484
137,921,1326
141,932,1335
145,934,1338
150,1110,1622
155,1110,1622
158,1114,1626
162,1130,1665
167,1137,1689
171,1141,1691
175,1170,1723
178,1346,1739
183,1354,1751
186,1450,1847
190,1452,1849
194,1465,1855
197,1465,1855
202,1467,1860
204,1467,1860
210,1475,1867
213,1519,1951
217,1523,1957
220,1523,1957
225,1587,1973
230,1775,2251
233,1775,2251
239,1775,2251
243,1782,2263
247,1804,2297
250,1804,2297
256,1808,2303
260,1821,2328
266,1828,2339
270,1840,2347
275,1859,2366
280,1859,2366
285,1859,2366
290,1894,2400
297,1942,2466
300,1942,2466
305,1944,2468
310,1957,2485
315,1957,2485
321,1957,2485
328,3537,4523
335,3577,4599
340,3577,4599
343,3577,4599
348,3577,4599
353,3577,4599
357,3593,4616
362,2099,2614
367,2112,2635
372,2112,2635
375,2154,2675
381,2154,2675
386,2154,2675
391,2075,2075
397,2075,2075
403,2075,2075
