permutation_id,measurement_id,program_id,program_name,level_id,iter,mean,spec_type,expr_type
5049,694633,4,avlja,32,1,7.34893954E8,fold,pred
5049,694634,4,avlja,32,1,9111241.0,fold,pred
5049,694635,4,avlja,32,1,4.29481453E8,fold,pred
5050,798275,2,composite,24,1,3168978.0,unfold,pred
5050,798276,2,composite,24,1,2.47335445E8,unfold,pred
5050,798277,2,composite,24,1,2481472.0,unfold,pred
5050,798278,2,composite,24,1,1.49219547E8,unfold,pred
5052,760489,6,bst,125,1,5854865.0,post,rem_imp
5052,760490,6,bst,125,1,2.68150584E8,post,rem_imp
5052,760491,6,bst,125,1,6159149.0,post,rem_imp
5052,760492,6,bst,125,1,2.63675166E8,post,rem_imp
5053,741218,5,list,19,1,1670569.0,post,acc
5053,741219,5,list,19,1,6.11916159E8,post,acc
5053,741220,5,list,19,1,9736196.0,post,acc
5053,741221,5,list,19,1,1.65551263E8,post,acc
5055,752726,4,avlja,33,1,3158179.0,unfold,pred
5055,752727,4,avlja,33,1,7.49937278E8,unfold,pred
5055,752728,4,avlja,33,1,8559132.0,unfold,pred
5055,752729,4,avlja,33,1,4.42398278E8,unfold,pred
5056,740062,2,composite,25,1,3110256.0,pre,pred
5056,740063,2,composite,25,1,2.55537763E8,pre,pred
5056,740064,2,composite,25,1,2471331.0,pre,pred
5056,740065,2,composite,25,1,1.51175503E8,pre,pred
5057,700273,5,list,20,1,1565837.0,post,bool
5057,700274,5,list,20,1,5.90277792E8,post,bool
5057,700275,5,list,20,1,9450048.0,post,bool
5057,700276,5,list,20,1,1.67364949E8,post,bool
5059,695876,6,bst,126,1,6003452.0,pre,rem_imp
5059,695877,6,bst,126,1,2.82473673E8,pre,rem_imp
5059,695878,6,bst,126,1,6330751.0,pre,rem_imp
5059,695879,6,bst,126,1,2.63234269E8,pre,rem_imp
5061,767040,4,avlja,34,1,3167969.0,pred,bool
5061,767041,4,avlja,34,1,7.67203533E8,pred,bool
5061,767042,4,avlja,34,1,8802447.0,pred,bool
5061,767043,4,avlja,34,1,4.49595305E8,pred,bool
5062,733974,2,composite,26,1,3144217.0,pred,acc
5062,733975,2,composite,26,1,2.51576681E8,pred,acc
5062,733976,2,composite,26,1,2575455.0,pred,acc
5062,733977,2,composite,26,1,1.49183309E8,pred,acc
5063,773011,6,bst,127,1,5904349.0,pre,rem_imp
5063,773012,6,bst,127,1,2.6136229E8,pre,rem_imp
5063,773013,6,bst,127,1,6059958.0,pre,rem_imp
5063,773014,6,bst,127,1,2.61810299E8,pre,rem_imp
5064,786591,5,list,21,1,1678182.0,pre,acc
5064,786592,5,list,21,1,6.09099489E8,pre,acc
5064,786593,5,list,21,1,1.1050712E7,pre,acc
5064,786594,5,list,21,1,1.71985998E8,pre,acc
5066,719041,4,avlja,35,1,3244809.0,assert,acc
5066,719042,4,avlja,35,1,7.91080427E8,assert,acc
5066,719043,4,avlja,35,1,8777091.0,assert,acc
5066,719044,4,avlja,35,1,4.38609674E8,assert,acc
5068,776567,2,composite,27,1,3177934.0,pre,pred
5068,776568,2,composite,27,1,2.462187E8,pre,pred
5068,776569,2,composite,27,1,2555949.0,pre,pred
5068,776570,2,composite,27,1,1.53084908E8,pre,pred
5069,803443,5,list,22,1,1401390.0,pre,bool
5069,803444,5,list,22,1,6.04055597E8,pre,bool
5069,803445,5,list,22,1,1.087505E7,pre,bool
5069,803446,5,list,22,1,1.71973512E8,pre,bool
5070,784391,6,bst,128,1,5866440.0,pre,pred
5070,784392,6,bst,128,1,2.627596E8,pre,pred
5070,784393,6,bst,128,1,6307117.0,pre,pred
5070,784394,6,bst,128,1,2.65250305E8,pre,pred
5072,716671,4,avlja,36,1,3221448.0,post,bool
5072,716672,4,avlja,36,1,9.14765112E8,post,bool
5072,716673,4,avlja,36,1,1.0378335E7,post,bool
5072,716674,4,avlja,36,1,5.44162913E8,post,bool
5074,822389,2,composite,28,1,3151100.0,inv,bool
5074,822390,2,composite,28,1,2.51130965E8,inv,bool
5074,822391,2,composite,28,1,2524396.0,inv,bool
5074,822392,2,composite,28,1,1.51400293E8,inv,bool
5075,792056,5,list,23,1,1537465.0,pre,pred
5075,792057,5,list,23,1,6.21241967E8,pre,pred
5075,792058,5,list,23,1,1.1227899E7,pre,pred
5075,792059,5,list,23,1,1.73666372E8,pre,pred
5077,773546,6,bst,129,1,6625745.0,post,pred
5077,773547,6,bst,129,1,2.90735079E8,post,pred
5077,773548,6,bst,129,1,6762363.0,post,pred
5077,773549,6,bst,129,1,2.6642261E8,post,pred
5079,822737,4,avlja,37,1,3340228.0,pred,bool
5079,822738,4,avlja,37,1,9.38973021E8,pred,bool
5079,822739,4,avlja,37,1,1.0067348E7,pred,bool
5079,822740,4,avlja,37,1,5.267222E8,pred,bool
5080,699139,2,composite,29,1,3384010.0,post,pred
5080,699140,2,composite,29,1,2.61837116E8,post,pred
5080,699141,2,composite,29,1,2668749.0,post,pred
5080,699142,2,composite,29,1,1.53375531E8,post,pred
5081,772443,6,bst,130,1,5819005.0,fold,pred
