"prefix","stress","pdiff_grad_mean","pdiff_grad_sd","pdiff_grad_max","pdiff_grad_min","steps_impr_mean","steps_impr_sd","steps_impr_max","steps_impr_min","percent_paths_complete"
"avlja","32","-7.1","23.9","197.9","-87.5","56.7","17.8","85.9","24.6","0"
"avlja","64","-14","28.3","219.5","-95.7","66.9","20.4","90.6","30.4","0"
"avlja","128","-15.9","31.7","194.7","-98","69.4","21.2","94.8","28.8","0"
"bst","32","-25.9","27.2","13.7","-92.5","75.6","7.6","89.4","61.3","0"
"bst","64","-27.8","30.5","25.5","-98.1","71","8.5","83.9","55.8","0"
"bst","128","-26.1","33.2","51.4","-99.5","68.4","10","86.2","48.4","0"
"composite","32","-37.7","34.4","21.4","-98.9","84.2","13.2","99.4","50.3","0"
"composite","64","-39.4","35.8","41.2","-99.8","84.4","13.5","99.4","49.7","0"
"composite","128","-40.2","37.3","82.6","-100","85.8","11.7","98.8","62.1","0"
"list","32","-16.3","23.5","18.5","-96.2","76.5","20.6","94.5","28.4","0"
"list","64","-22.4","28.5","28.9","-99.8","84.2","12.9","100","54.1","6.25"
"list","128","-25","29.7","40.4","-100","86.9","8.6","100","67","6.25"
