"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
38,3,0.01856525,0.034706847,29710887,16560791,68994500,"Enabled","List"
40,3,0.020808625,0.039740528,34428351,18932750,79480209,"Enabled","List"
42,3,0.022622667,0.041616166,34307158,21006167,81219666,"Enabled","List"
44,3,0.024998917,0.044049514,34389464,23401292,83748333,"Enabled","List"
46,3,0.0274675,0.046732555,34503074,26164000,86566166,"Enabled","List"
48,3,0.030220042,0.048792416,32994949,29269458,86887750,"Enabled","List"
50,3,0.0338775,0.051502041,31976332,32215959,88412666,"Enabled","List"
52,3,0.036944583,0.056278736,34166332,36163583,95728042,"Enabled","List"
54,3,0.040201667,0.060789458,36219449,39556292,102610416,"Enabled","List"
56,3,0.045556,0.065986389,35753426,45133000,107270167,"Enabled","List"
58,3,0.048968792,0.069907153,36768547,48390167,112362500,"Enabled","List"
60,3,0.05437725,0.072603208,32427864,53389042,110043334,"Enabled","List"
62,3,0.057855042,0.082000916,41918192,57743875,130403833,"Enabled","List"
64,3,0.064570375,0.085754361,38054312,63006292,129686417,"Enabled","List"
66,3,0.07019125,0.090773013,36630025,69063083,133064708,"Enabled","List"
68,3,0.076726708,0.096034347,33947049,76144750,135231584,"Enabled","List"
70,3,0.082873458,0.104210861,38329728,81298250,148460875,"Enabled","List"
72,3,0.091408459,0.110188264,33790617,89959000,149197333,"Enabled","List"
74,3,0.09532275,0.116721708,37210067,95154292,159688083,"Enabled","List"
76,3,0.104427292,0.125441917,36668459,104115834,167782625,"Enabled","List"
78,3,0.112061333,0.132936347,36547677,111610541,175137167,"Enabled","List"
80,3,0.119055875,0.140304722,36805959,119053708,182804583,"Enabled","List"
82,3,0.130516917,0.150235111,34534919,130076625,190111791,"Enabled","List"
84,3,0.137635459,0.158325306,36224429,137187584,200152875,"Enabled","List"
86,3,0.148448625,0.1685325,36081477,146961917,210186959,"Enabled","List"
