"stress","iter","median","mean","stdev","min","max","only_framing","unverified","dynamic"
24,3,0.003731952,3098956,1246258,1663241,3901677,NA,0.0135734165117843,NA
32,3,0.00136107,2038762,1250603,1273272,3481945,NA,0.0135734165583155,NA
40,3,0.001887398,1948368,693124,1287743,2669963,NA,0.0135734166075628,NA
48,3,0.003474926,3461812,109948,3345895,3564615,NA,0.0135734166589744,NA
56,3,0.003593045,2920283,1316440,1403411,3764393,NA,0.0135734167121861,NA
64,3,0.002046626,2330084,1055436,1445322,3498305,NA,0.0135734167669385,NA
72,3,0.001403099,1436756,121367,1335770,1571401,NA,0.0135734168230382,NA
80,3,0.00131863,1324298,38372,1289075,1365189,NA,0.0135734168803347,NA
88,3,0.001875885,1860003,266125,1586292,2117832,NA,0.0135734169387079,NA
96,3,0.001274968,1297032,92837,1217215,1398914,NA,0.0135734169980597,NA
104,3,0.001289232,1336154,170540,1193988,1525244,NA,0.0135734170583083,NA
112,3,0.001492459,1704301,401131,1453504,2166942,NA,0.0135734171193846,NA
120,3,0.001281283,1328382,145753,1212002,1491861,NA,0.0135734171812293,NA
128,3,0.002052171,2196528,388051,1901345,2636069,NA,0.0135734172437912,NA
136,3,0.001612011,1640721,86462,1572267,1737887,NA,0.0135734173070254,NA
144,3,0.001562608,3539101,3594759,1366272,7688424,NA,0.0135734173708922,NA
152,3,0.001406645,1423201,57026,1376285,1486674,NA,0.0135734174353565,NA
160,3,0.00158712,1565227,93469,1462755,1645807,NA,0.0135734175003868,NA
168,3,0.001559399,2067684,959121,1469684,3173970,NA,0.0135734175659549,NA
176,3,0.001735074,1784087,220401,1592318,2024870,NA,0.0135734176320349,NA
184,3,0.001594549,1651945,102927,1590515,1770773,NA,0.0135734176986038,NA
192,3,0.002105493,2145023,96923,2074113,2255465,NA,0.0135734177656401,NA
200,3,0.001916374,1965074,296609,1695829,2283021,NA,0.0135734178331245,NA
208,3,0.001972322,2419463,811719,1929636,3356432,NA,0.013573417901039,NA
216,3,0.001929055,2055971,405140,1729483,2509375,NA,0.013573417969367,NA
224,3,0.002340637,2292163,366917,1903419,2632435,NA,0.0135734180380932,NA
232,3,0.002074593,2046085,54682,1983039,2080624,NA,0.0135734181072034,NA
240,3,0.002130314,2109713,63891,2038063,2160762,NA,0.0135734181766843,NA
248,3,0.002638236,2842797,478881,2500170,3389987,NA,0.0135734182465236,NA
256,3,0.002292525,2383698,343299,2095188,2763381,NA,0.0135734183167097,NA
264,3,0.00254613,2527988,97438,2422754,2615081,NA,0.0135734183872318,NA
272,3,0.002443913,2446241,38629,2408829,2485983,NA,0.0135734184580797,NA
280,3,0.00247826,2557601,242707,2364493,2830050,NA,0.0135734185292437,NA
