"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
0,3,3121500,0.021424041,32027905,2744584,58406041,"Disabled","Binary Search Tree"
2,3,2882125,0.019643458,29138500,2758625,53289625,"Disabled","Binary Search Tree"
4,3,4358166,0.020467305,29086823,2999042,54044708,"Disabled","Binary Search Tree"
6,3,2888792,0.020902042,31324112,2745417,57071917,"Disabled","Binary Search Tree"
8,3,2929041,0.020080819,29866699,2745666,54567750,"Disabled","Binary Search Tree"
10,3,2584042,0.01806893,26873675,2522792,49099958,"Disabled","Binary Search Tree"
12,3,2907209,0.020177041,30032108,2768875,54855041,"Disabled","Binary Search Tree"
14,3,3008791,0.020414388,30364395,2758500,55475875,"Disabled","Binary Search Tree"
16,3,2730333,0.018160847,26833603,2606667,49145541,"Disabled","Binary Search Tree"
18,3,2903916,0.018529124,27323620,2604208,50079250,"Disabled","Binary Search Tree"
20,3,2829167,0.020097152,29976676,2751083,54711208,"Disabled","Binary Search Tree"
22,3,2934625,0.021502097,32284665,2790542,58781125,"Disabled","Binary Search Tree"
24,3,2944291,0.020708722,30946529,2739375,56442500,"Disabled","Binary Search Tree"
26,3,2853875,0.020262194,30258713,2730833,55201875,"Disabled","Binary Search Tree"
28,3,2805250,0.019315486,28692497,2694541,52446667,"Disabled","Binary Search Tree"
30,3,2941125,0.020339861,30297079,2754708,55323750,"Disabled","Binary Search Tree"
32,3,2810125,0.020144597,30039018,2793000,54830667,"Disabled","Binary Search Tree"
34,3,2949666,0.019711694,29196588,2760583,53424834,"Disabled","Binary Search Tree"
36,3,3061041,0.020142999,29806771,2807375,54560583,"Disabled","Binary Search Tree"
38,3,2952667,0.019720847,29208292,2762375,53447500,"Disabled","Binary Search Tree"
40,3,2895291,0.018509166,27125544,2801208,49831000,"Disabled","Binary Search Tree"
42,3,2957583,0.019814652,29343166,2789292,53697083,"Disabled","Binary Search Tree"
44,3,3191084,0.02179725,32390389,3002375,59198291,"Disabled","Binary Search Tree"
46,3,3075750,0.021672875,32357705,2906667,59036208,"Disabled","Binary Search Tree"
48,3,2922417,0.021910569,32995674,2798666,60010625,"Disabled","Binary Search Tree"
50,3,3006250,0.020488319,30419224,2845416,55613292,"Disabled","Binary Search Tree"
52,3,3152542,0.022044416,33034707,2791666,60189042,"Disabled","Binary Search Tree"
54,3,2879125,0.020662625,30855454,2817334,56291417,"Disabled","Binary Search Tree"
56,3,3007875,0.019647138,28925047,2886708,53046833,"Disabled","Binary Search Tree"
58,3,3026375,0.020922125,31193034,2799500,56940500,"Disabled","Binary Search Tree"
60,3,3111375,0.021026347,31303885,2795167,57172500,"Disabled","Binary Search Tree"
62,3,2925458,0.019500611,28802226,2817875,52758500,"Disabled","Binary Search Tree"
64,3,2798666,0.017235597,25180239,2597125,46311000,"Disabled","Binary Search Tree"
66,3,3027250,0.018840694,27505059,2894125,50600708,"Disabled","Binary Search Tree"
68,3,2896542,0.021085597,31540640,2854666,57505583,"Disabled","Binary Search Tree"
70,3,2887292,0.020261486,30108541,2869333,55027834,"Disabled","Binary Search Tree"
72,3,3034625,0.02094675,31188062,2846167,56959459,"Disabled","Binary Search Tree"
74,3,2885125,0.016633139,24040274,2622250,44392042,"Disabled","Binary Search Tree"
76,3,3054292,0.020793764,30886490,2868750,56458250,"Disabled","Binary Search Tree"
78,3,3100250,0.021739319,32468814,2886833,59230875,"Disabled","Binary Search Tree"
80,3,2950208,0.020356583,30227677,2859084,55260459,"Disabled","Binary Search Tree"
82,3,2931500,0.017467791,25420685,2651250,46820625,"Disabled","Binary Search Tree"
84,3,3135083,0.01832525,26548978,2859709,48980958,"Disabled","Binary Search Tree"
86,3,3029292,0.019738972,29060380,2892708,53294917,"Disabled","Binary Search Tree"
88,3,2938750,0.020879528,31107037,2901000,56798834,"Disabled","Binary Search Tree"
90,3,3150333,0.02265818,33913294,3006416,61817792,"Disabled","Binary Search Tree"
92,3,2932250,0.020056347,29683011,2905459,54331333,"Disabled","Binary Search Tree"
94,3,3391417,0.02198993,32550564,3002959,59575416,"Disabled","Binary Search Tree"
96,3,3077667,0.019867903,29230878,2905375,53620667,"Disabled","Binary Search Tree"
98,3,3247875,0.021786138,32374652,2941791,59168750,"Disabled","Binary Search Tree"
100,3,3289459,0.021462722,31736165,2990625,58108083,"Disabled","Binary Search Tree"
102,3,3121959,0.020808292,30780571,2952417,56350500,"Disabled","Binary Search Tree"
104,3,2937875,0.01992268,29436806,2916792,53913375,"Disabled","Binary Search Tree"
106,3,3020708,0.021250444,31636842,2949125,57781500,"Disabled","Binary Search Tree"
108,3,3037208,0.01915418,27995415,2944875,51480458,"Disabled","Binary Search Tree"
110,3,3036166,0.020756791,30779485,2936375,56297833,"Disabled","Binary Search Tree"
112,3,3136125,0.018856541,27345738,3000916,50432584,"Disabled","Binary Search Tree"
114,3,3088500,0.020674292,30580772,2948542,55985834,"Disabled","Binary Search Tree"
116,3,3422916,0.021684611,31970845,3030250,58600667,"Disabled","Binary Search Tree"
118,3,3115333,0.019835819,29046655,3016167,53375959,"Disabled","Binary Search Tree"
120,3,3059542,0.020424555,30222876,2891333,55322792,"Disabled","Binary Search Tree"
122,3,2963125,0.018120958,26285175,2927292,48472458,"Disabled","Binary Search Tree"
124,3,3175833,0.019715444,28783447,3018917,52951583,"Disabled","Binary Search Tree"
126,3,3239000,0.021013403,30954727,3044542,56756667,"Disabled","Binary Search Tree"
128,3,3099583,0.020191277,29687979,3002292,54471958,"Disabled","Binary Search Tree"
0,3,2960375,0.019599583,28877780,2893625,52944750,"Enabled","Binary Search Tree"
2,3,3185250,0.019752458,28839198,3019167,53052958,"Enabled","Binary Search Tree"
4,3,4606292,0.02485393,35515933,4092375,65863125,"Enabled","Binary Search Tree"
6,3,4980792,0.023308972,31987952,4701000,60245125,"Enabled","Binary Search Tree"
8,3,8319583,0.026227319,31786257,7435000,62927375,"Enabled","Binary Search Tree"
10,3,9915083,0.028144416,32275136,9108542,65409625,"Enabled","Binary Search Tree"
12,3,13238375,0.032522222,34465541,12014958,72313333,"Enabled","Binary Search Tree"
14,3,17802208,0.037212847,34996463,16223334,77613000,"Enabled","Binary Search Tree"
16,3,18488041,0.03706125,33385498,17092625,75603084,"Enabled","Binary Search Tree"
18,3,23312958,0.042214291,34117292,21730959,81598958,"Enabled","Binary Search Tree"
20,3,42977458,0.062480041,34581486,42054917,102407750,"Enabled","Binary Search Tree"
