"program_id","path_id","level_id","measurement_type","stress","iter","median","classification","example"
4,22,0.523560209424084,"gradual",32,10,3.446051,"median","avlja"
4,22,1.04712041884817,"gradual",32,10,3.455064,"median","avlja"
4,22,1.57068062827225,"gradual",32,10,3.477284,"median","avlja"
4,22,2.09424083769634,"gradual",32,10,3.420302,"median","avlja"
4,22,2.61780104712042,"gradual",32,10,3.5189645,"median","avlja"
4,22,3.1413612565445,"gradual",32,10,3.3607125,"median","avlja"
4,22,3.66492146596859,"gradual",32,10,3.492941,"median","avlja"
4,22,4.18848167539267,"gradual",32,10,3.4909975,"median","avlja"
4,22,4.71204188481675,"gradual",32,10,3.479928,"median","avlja"
4,22,5.23560209424084,"gradual",32,10,3.448326,"median","avlja"
4,22,5.75916230366492,"gradual",32,10,3.480738,"median","avlja"
4,22,6.282722513089,"gradual",32,10,3.509791,"median","avlja"
4,22,6.80628272251309,"gradual",32,10,3.4659935,"median","avlja"
4,22,7.32984293193717,"gradual",32,10,3.557556,"median","avlja"
4,22,7.85340314136126,"gradual",32,10,3.4788855,"median","avlja"
4,22,8.37696335078534,"gradual",32,10,3.4080535,"median","avlja"
4,22,8.90052356020942,"gradual",32,10,3.4451295,"median","avlja"
4,22,9.42408376963351,"gradual",32,10,3.360615,"median","avlja"
4,22,9.94764397905759,"gradual",32,10,3.4790845,"median","avlja"
4,22,10.4712041884817,"gradual",32,10,3.3043775,"median","avlja"
4,22,10.9947643979058,"gradual",32,10,3.4300845,"median","avlja"
4,22,11.5183246073298,"gradual",32,10,3.4641385,"median","avlja"
4,22,12.0418848167539,"gradual",32,10,3.4610255,"median","avlja"
4,22,12.565445026178,"gradual",32,10,3.5268035,"median","avlja"
4,22,13.0890052356021,"gradual",32,10,3.403373,"median","avlja"
4,22,13.6125654450262,"gradual",32,10,3.543349,"median","avlja"
4,22,14.1361256544503,"gradual",32,10,3.4226625,"median","avlja"
4,22,14.6596858638743,"gradual",32,10,3.4190335,"median","avlja"
4,22,15.1832460732984,"gradual",32,10,3.5048285,"median","avlja"
4,22,15.7068062827225,"gradual",32,10,3.36907,"median","avlja"
4,22,16.2303664921466,"gradual",32,10,3.38577,"median","avlja"
4,22,16.7539267015707,"gradual",32,10,3.397722,"median","avlja"
4,22,17.2774869109948,"gradual",32,10,3.462822,"median","avlja"
4,22,17.8010471204188,"gradual",32,10,3.4478515,"median","avlja"
4,22,18.3246073298429,"gradual",32,10,3.5249055,"median","avlja"
4,22,18.848167539267,"gradual",32,10,3.362836,"median","avlja"
4,22,19.3717277486911,"gradual",32,10,3.5283265,"median","avlja"
4,22,19.8952879581152,"gradual",32,10,3.4737475,"median","avlja"
4,22,20.4188481675393,"gradual",32,10,3.542814,"median","avlja"
4,22,20.9424083769633,"gradual",32,10,3.5486345,"median","avlja"
4,22,21.4659685863874,"gradual",32,10,3.4811035,"median","avlja"
4,22,21.9895287958115,"gradual",32,10,3.5535745,"median","avlja"
4,22,22.5130890052356,"gradual",32,10,3.4935205,"median","avlja"
4,22,23.0366492146597,"gradual",32,10,3.598943,"median","avlja"
4,22,23.5602094240838,"gradual",32,10,3.4651055,"median","avlja"
4,22,24.0837696335079,"gradual",32,10,3.505027,"median","avlja"
4,22,24.6073298429319,"gradual",32,10,3.544852,"median","avlja"
4,22,25.130890052356,"gradual",32,10,3.5987645,"median","avlja"
4,22,25.6544502617801,"gradual",32,10,3.630828,"median","avlja"
4,22,26.1780104712042,"gradual",32,10,3.5358055,"median","avlja"
4,22,26.7015706806283,"gradual",32,10,3.736826,"median","avlja"
4,22,27.2251308900524,"gradual",32,10,3.534816,"median","avlja"
4,22,27.7486910994764,"gradual",32,10,3.769229,"median","avlja"
4,22,28.2722513089005,"gradual",32,10,3.853857,"median","avlja"
4,22,28.7958115183246,"gradual",32,10,3.9493425,"median","avlja"
4,22,29.3193717277487,"gradual",32,10,6.1499875,"median","avlja"
4,22,29.8429319371728,"gradual",32,10,6.1452895,"median","avlja"
4,22,30.3664921465969,"gradual",32,10,6.103764,"median","avlja"
4,22,30.8900523560209,"gradual",32,10,6.4535195,"median","avlja"
4,22,31.413612565445,"gradual",32,10,6.245965,"median","avlja"
4,22,31.9371727748691,"gradual",32,10,6.1638755,"median","avlja"
4,22,32.4607329842932,"gradual",32,10,6.361637,"median","avlja"
4,22,32.9842931937173,"gradual",32,10,6.391364,"median","avlja"
4,22,33.5078534031414,"gradual",32,10,6.457607,"median","avlja"
4,22,34.0314136125654,"gradual",32,10,6.283491,"median","avlja"
4,22,34.5549738219895,"gradual",32,10,6.58301,"median","avlja"
4,22,35.0785340314136,"gradual",32,10,6.266195,"median","avlja"
4,22,35.6020942408377,"gradual",32,10,6.3259105,"median","avlja"
4,22,36.1256544502618,"gradual",32,10,6.4037545,"median","avlja"
4,22,36.6492146596859,"gradual",32,10,6.2607955,"median","avlja"
4,22,37.17277486911,"gradual",32,10,6.4434595,"median","avlja"
4,22,37.696335078534,"gradual",32,10,6.216395,"median","avlja"
4,22,38.2198952879581,"gradual",32,10,6.395681,"median","avlja"
4,22,38.7434554973822,"gradual",32,10,6.5543615,"median","avlja"
4,22,39.2670157068063,"gradual",32,10,6.61269,"median","avlja"
4,22,39.7905759162304,"gradual",32,10,6.722733,"median","avlja"
4,22,40.3141361256544,"gradual",32,10,6.4202455,"median","avlja"
4,22,40.8376963350785,"gradual",32,10,6.179452,"median","avlja"
4,22,41.3612565445026,"gradual",32,10,6.4381835,"median","avlja"
4,22,41.8848167539267,"gradual",32,10,6.4351495,"median","avlja"
4,22,42.4083769633508,"gradual",32,10,6.534153,"median","avlja"
4,22,42.9319371727749,"gradual",32,10,6.363338,"median","avlja"
4,22,43.455497382199,"gradual",32,10,6.1373465,"median","avlja"
4,22,43.979057591623,"gradual",32,10,6.630259,"median","avlja"
4,22,44.5026178010471,"gradual",32,10,6.6584525,"median","avlja"
4,22,45.0261780104712,"gradual",32,10,6.7765965,"median","avlja"
4,22,45.5497382198953,"gradual",32,10,6.50508,"median","avlja"
4,22,46.0732984293194,"gradual",32,10,6.630204,"median","avlja"
4,22,46.5968586387435,"gradual",32,10,6.6868845,"median","avlja"
4,22,47.1204188481675,"gradual",32,10,7.8554335,"median","avlja"
4,22,47.6439790575916,"gradual",32,10,7.9900505,"median","avlja"
4,22,48.1675392670157,"gradual",32,10,8.0850565,"median","avlja"
4,22,48.6910994764398,"gradual",32,10,8.125389,"median","avlja"
4,22,49.2146596858639,"gradual",32,10,8.1774625,"median","avlja"
4,22,49.738219895288,"gradual",32,10,7.9770595,"median","avlja"
4,22,50.261780104712,"gradual",32,10,8.3871095,"median","avlja"
4,22,50.7853403141361,"gradual",32,10,12.0158315,"median","avlja"
4,22,51.3089005235602,"gradual",32,10,11.8436335,"median","avlja"
4,22,51.8324607329843,"gradual",32,10,11.5435965,"median","avlja"
4,22,52.3560209424084,"gradual",32,10,11.9864185,"median","avlja"
4,22,52.8795811518325,"gradual",32,10,11.991592,"median","avlja"
4,22,53.4031413612565,"gradual",32,10,11.9878825,"median","avlja"
4,22,53.9267015706806,"gradual",32,10,11.845433,"median","avlja"
4,22,54.4502617801047,"gradual",32,10,11.7599925,"median","avlja"
4,22,54.9738219895288,"gradual",32,10,11.994547,"median","avlja"
4,22,55.4973821989529,"gradual",32,10,12.127688,"median","avlja"
4,22,56.020942408377,"gradual",32,10,12.710344,"median","avlja"
4,22,56.5445026178011,"gradual",32,10,11.9322715,"median","avlja"
4,22,57.0680628272251,"gradual",32,10,12.1192345,"median","avlja"
4,22,57.5916230366492,"gradual",32,10,11.8966485,"median","avlja"
4,22,58.1151832460733,"gradual",32,10,12.005295,"median","avlja"
4,22,58.6387434554974,"gradual",32,10,11.9118335,"median","avlja"
4,22,59.1623036649215,"gradual",32,10,12.2350585,"median","avlja"
4,22,59.6858638743455,"gradual",32,10,12.367941,"median","avlja"
4,22,60.2094240837696,"gradual",32,10,12.2032655,"median","avlja"
4,22,60.7329842931937,"gradual",32,10,12.1901995,"median","avlja"
4,22,61.2565445026178,"gradual",32,10,12.4984715,"median","avlja"
4,22,61.7801047120419,"gradual",32,10,12.100633,"median","avlja"
4,22,62.303664921466,"gradual",32,10,13.046197,"median","avlja"
4,22,62.82722513089,"gradual",32,10,12.505193,"median","avlja"
4,22,63.3507853403141,"gradual",32,10,13.5460925,"median","avlja"
4,22,63.8743455497382,"gradual",32,10,14.5484695,"median","avlja"
4,22,64.3979057591623,"gradual",32,10,14.8671445,"median","avlja"
4,22,64.9214659685864,"gradual",32,10,14.627956,"median","avlja"
4,22,65.4450261780105,"gradual",32,10,14.575204,"median","avlja"
4,22,65.9685863874346,"gradual",32,10,15.32229,"median","avlja"
4,22,66.4921465968586,"gradual",32,10,14.8664995,"median","avlja"
4,22,67.0157068062827,"gradual",32,10,15.123678,"median","avlja"
4,22,67.5392670157068,"gradual",32,10,14.4632365,"median","avlja"
4,22,68.0628272251309,"gradual",32,10,14.765539,"median","avlja"
4,22,68.586387434555,"gradual",32,10,14.640249,"median","avlja"
4,22,69.1099476439791,"gradual",32,10,15.27085,"median","avlja"
4,22,69.6335078534031,"gradual",32,10,15.2238415,"median","avlja"
4,22,70.1570680628272,"gradual",32,10,14.859986,"median","avlja"
4,22,70.6806282722513,"gradual",32,10,15.0689505,"median","avlja"
4,22,71.2041884816754,"gradual",32,10,14.655069,"median","avlja"
4,22,71.7277486910995,"gradual",32,10,15.4891145,"median","avlja"
4,22,72.2513089005236,"gradual",32,10,15.223002,"median","avlja"
4,22,72.7748691099476,"gradual",32,10,11.6767805,"median","avlja"
4,22,73.2984293193717,"gradual",32,10,11.640597,"median","avlja"
4,22,73.8219895287958,"gradual",32,10,34.070012,"median","avlja"
4,22,74.3455497382199,"gradual",32,10,33.1287785,"median","avlja"
4,22,74.869109947644,"gradual",32,10,33.701338,"median","avlja"
4,22,75.3926701570681,"gradual",32,10,33.2778815,"median","avlja"
4,22,75.9162303664921,"gradual",32,10,38.206282,"median","avlja"
4,22,76.4397905759162,"gradual",32,10,33.43331,"median","avlja"
4,22,76.9633507853403,"gradual",32,10,34.244888,"median","avlja"
4,22,77.4869109947644,"gradual",32,10,34.5408905,"median","avlja"
4,22,78.0104712041885,"gradual",32,10,38.5512975,"median","avlja"
4,22,78.5340314136126,"gradual",32,10,38.632174,"median","avlja"
4,22,79.0575916230366,"gradual",32,10,39.0918375,"median","avlja"
4,22,79.5811518324607,"gradual",32,10,38.2323225,"median","avlja"
4,22,80.1047120418848,"gradual",32,10,39.289709,"median","avlja"
4,22,80.6282722513089,"gradual",32,10,43.540031,"median","avlja"
4,22,81.151832460733,"gradual",32,10,39.1418225,"median","avlja"
4,22,81.6753926701571,"gradual",32,10,39.4058225,"median","avlja"
4,22,82.1989528795812,"gradual",32,10,39.1067545,"median","avlja"
4,22,82.7225130890052,"gradual",32,10,39.2071465,"median","avlja"
4,22,83.2460732984293,"gradual",32,10,43.8181425,"median","avlja"
4,22,83.7696335078534,"gradual",32,10,44.337787,"median","avlja"
4,22,84.2931937172775,"gradual",32,10,36.426556,"median","avlja"
4,22,84.8167539267016,"gradual",32,10,38.2370225,"median","avlja"
4,22,85.3403141361257,"gradual",32,10,37.749361,"median","avlja"
4,22,85.8638743455497,"gradual",32,10,37.221431,"median","avlja"
4,22,86.3874345549738,"gradual",32,10,43.714567,"median","avlja"
4,22,86.9109947643979,"gradual",32,10,37.5642925,"median","avlja"
4,22,87.434554973822,"gradual",32,10,38.304499,"median","avlja"
4,22,87.9581151832461,"gradual",32,10,31.3051435,"median","avlja"
4,22,88.4816753926702,"gradual",32,10,31.865214,"median","avlja"
4,22,89.0052356020942,"gradual",32,10,31.519466,"median","avlja"
4,22,89.5287958115183,"gradual",32,10,31.562543,"median","avlja"
4,22,90.0523560209424,"gradual",32,10,31.428287,"median","avlja"
4,22,90.5759162303665,"gradual",32,10,30.920947,"median","avlja"
4,22,91.0994764397906,"gradual",32,10,31.174715,"median","avlja"
4,22,91.6230366492147,"gradual",32,10,31.336976,"median","avlja"
4,22,92.1465968586387,"gradual",32,10,31.373836,"median","avlja"
4,22,92.6701570680628,"gradual",32,10,31.5442305,"median","avlja"
4,22,93.1937172774869,"gradual",32,10,31.725348,"median","avlja"
4,22,93.717277486911,"gradual",32,10,35.2445275,"median","avlja"
4,22,94.2408376963351,"gradual",32,10,31.244848,"median","avlja"
4,22,94.7643979057592,"gradual",32,10,31.847536,"median","avlja"
4,22,95.2879581151832,"gradual",32,10,31.558861,"median","avlja"
4,22,95.8115183246073,"gradual",32,10,29.855453,"median","avlja"
4,22,96.3350785340314,"gradual",32,10,29.8281855,"median","avlja"
4,22,96.8586387434555,"gradual",32,10,29.67312,"median","avlja"
4,22,97.3821989528796,"gradual",32,10,29.6891255,"median","avlja"
4,22,97.9057591623037,"gradual",32,10,29.8537585,"median","avlja"
4,22,98.4293193717278,"gradual",32,10,38.012906,"median","avlja"
4,22,98.9528795811518,"gradual",32,10,38.3246225,"median","avlja"
4,22,99.4764397905759,"gradual",32,10,37.435344,"median","avlja"
4,22,100,"gradual",32,10,2.03863,"median","avlja"
4,26,0.523560209424084,"gradual",32,10,3.520251,"best","avlja"
4,26,1.04712041884817,"gradual",32,10,3.491373,"best","avlja"
4,26,1.57068062827225,"gradual",32,10,3.402636,"best","avlja"
4,26,2.09424083769634,"gradual",32,10,3.4179115,"best","avlja"
4,26,2.61780104712042,"gradual",32,10,3.35486,"best","avlja"
4,26,3.1413612565445,"gradual",32,10,3.476313,"best","avlja"
4,26,3.66492146596859,"gradual",32,10,3.3760435,"best","avlja"
4,26,4.18848167539267,"gradual",32,10,3.399141,"best","avlja"
