"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",1225,65,138,"Eliminated",891,63.6
"bst",1231,65,139,"Eliminated",893,64.1
"bst",1237,65,140,"Eliminated",895,64.5
"bst",1243,65,141,"Eliminated",895,65
"bst",1249,65,142,"Eliminated",909,65.4
"bst",1254,65,143,"Eliminated",911,65.9
"bst",1259,65,144,"Eliminated",911,66.4
"bst",1266,65,145,"Eliminated",913,66.8
"bst",1273,65,146,"Eliminated",913,67.3
"bst",1280,65,147,"Eliminated",918,67.7
"bst",1285,65,148,"Eliminated",919,68.2
"bst",1292,65,149,"Eliminated",924,68.7
"bst",1296,65,150,"Eliminated",926,69.1
"bst",1302,65,151,"Eliminated",926,69.6
"bst",1309,65,152,"Eliminated",929,70
"bst",1314,65,153,"Eliminated",940,70.5
"bst",1320,65,154,"Eliminated",1008,71
"bst",1326,65,155,"Eliminated",1008,71.4
"bst",1331,65,156,"Eliminated",1008,71.9
"bst",1339,65,157,"Eliminated",1008,72.4
"bst",1344,65,158,"Eliminated",1008,72.8
"bst",1349,65,159,"Eliminated",1010,73.3
"bst",1355,65,160,"Eliminated",1010,73.7
"bst",1361,65,161,"Eliminated",1043,74.2
"bst",1367,65,162,"Eliminated",1043,74.7
"bst",1373,65,163,"Eliminated",1051,75.1
"bst",1379,65,164,"Eliminated",1051,75.6
"bst",1386,65,165,"Eliminated",1051,76
"bst",1392,65,166,"Eliminated",1051,76.5
"bst",1402,65,167,"Eliminated",1051,77
"bst",1408,65,168,"Eliminated",1079,77.4
"bst",1414,65,169,"Eliminated",1079,77.9
"bst",1420,65,170,"Eliminated",1081,78.3
"bst",1426,65,171,"Eliminated",1081,78.8
"bst",1432,65,172,"Eliminated",1081,79.3
"bst",1438,65,173,"Eliminated",1083,79.7
"bst",1444,65,174,"Eliminated",1083,80.2
"bst",1450,65,175,"Eliminated",1083,80.6
"bst",1456,65,176,"Eliminated",1091,81.1
"bst",1463,65,177,"Eliminated",1091,81.6
"bst",1469,65,178,"Eliminated",1094,82
"bst",1475,65,179,"Eliminated",1094,82.5
"bst",1478,65,180,"Eliminated",1094,82.9
"bst",1486,65,181,"Eliminated",1111,83.4
"bst",1493,65,182,"Eliminated",1111,83.9
"bst",1501,65,183,"Eliminated",1111,84.3
"bst",1505,65,184,"Eliminated",1118,84.8
"bst",1514,65,185,"Eliminated",1118,85.3
"bst",1521,65,186,"Eliminated",1118,85.7
"bst",1524,65,187,"Eliminated",1118,86.2
"bst",1534,65,188,"Eliminated",1118,86.6
"bst",1538,65,189,"Eliminated",1125,87.1
"bst",1545,65,190,"Eliminated",1125,87.6
"bst",1552,65,191,"Eliminated",1151,88
"bst",1558,65,192,"Eliminated",1151,88.5
"bst",1563,65,193,"Eliminated",1151,88.9
"bst",1568,65,194,"Eliminated",1151,89.4
"bst",1573,65,195,"Eliminated",1151,89.9
"bst",1580,65,196,"Eliminated",1155,90.3
"bst",1584,65,197,"Eliminated",1155,90.8
"bst",1592,65,198,"Eliminated",1159,91.2
"bst",1597,65,199,"Eliminated",1192,91.7
"bst",1603,65,200,"Eliminated",1197,92.2
"bst",1611,65,201,"Eliminated",1197,92.6
"bst",1615,65,202,"Eliminated",1197,93.1
"bst",1621,65,203,"Eliminated",1200,93.5
"bst",1627,65,204,"Eliminated",1208,94
"bst",1633,65,205,"Eliminated",1208,94.5
"bst",1641,65,206,"Eliminated",1208,94.9
"bst",1647,65,207,"Eliminated",1208,95.4
"bst",1653,65,208,"Eliminated",1210,95.9
"bst",1661,65,209,"Eliminated",1222,96.3
