id,path_id,level_id,component_added
19a27b3664ddcf70c4b8da11686c3bc3949ee0e,4,78,m.tree_max.1.pre.44
19a27b3664ddcf70c4b8da11686c3bc7949ee0e,4,79,m.tree_remove_lemma_max.4.unfold.122
19a27b3664ddcf70c4b8da1168ec3bc7949ee0e,4,80,m.tree_remove_lemma.1.pre.101
19a27b7664ddcf70c4b8da1168ec3bc7949ee0e,4,81,m.tree_add_helper.1.pre.22
19a27b7664ddcf70c4b8db1168ec3bc7949ee0e,4,82,m.tree_min_lemma.4.unfold.84
19a27b7664ddcf70c4b8db1168ec3be7949ee0e,4,83,m.tree_remove_lemma_max.1.pre.119
19a27b7664ddcf70c4b8db116aec3be7949ee0e,4,84,m.tree_remove_helper.3.fold.99
19a27b7664ddef70c4b8db116aec3be7949ee0e,4,85,m.tree_max.4.unfold.47
19a27b7664ddef70c4b9db116aec3be7949ee0e,4,86,m.tree_min_helper.3.fold.76
19a27b7664ddef70c4b9db116aec3be7949fe0e,4,87,p.bst.6.pred.140
19a27b7664ddef70c6b9db116aec3be7949fe0e,4,88,m.tree_min.2.post.67
19a27b7664ddef70c6bbdb116aec3be7949fe0e,4,89,m.tree_min_helper.3.fold.75
19a37b7664ddef70c6bbdb116aec3be7949fe0e,4,90,m.main.5.inv.12
19a37b7764ddef70c6bbdb116aec3be7949fe0e,4,91,m.tree_contains.4.unfold.28
19a3fb7764ddef70c6bbdb116aec3be7949fe0e,4,92,m.main.5.inv.13
19a3fb7764ddef70c6bbdb156aec3be7949fe0e,4,93,m.tree_remove_helper.1.pre.90
19b3fb7764ddef70c6bbdb156aec3be7949fe0e,4,94,m.create_tree_helper.3.fold.8
19b3fb7774ddef70c6bbdb156aec3be7949fe0e,4,95,m.tree_contains_helper.4.unfold.32
19b3fb7774ddef70d6bbdb156aec3be7949fe0e,4,96,m.tree_max_lemma.3.fold.64
19b3fb7f74ddef70d6bbdb156aec3be7949fe0e,4,97,m.tree_add_helper.3.fold.25
19b3fb7f74ddef70d6bbdb156aec3be7949fe2e,4,98,p.bstRemove.6.pred.147
19b3fb7f74ddef70d6bbdb157aec3be7949fe2e,4,99,m.tree_remove_helper.3.fold.96
19b3fb7f74ddef70d6bbdb157aec3be7959fe2e,4,100,m.tree_remove_lemma_right.4.unfold.132
19b3fb7f74ddef70d6bbdb357aec3be7959fe2e,4,101,m.tree_remove.2.post.87
19b3fb7f74ddef70d6bbdb3d7aec3be7959fe2e,4,102,m.tree_remove.3.fold.89
19bbfb7f74ddef70d6bbdb3d7aec3be7959fe2e,4,103,m.create_tree_helper.3.fold.9
19bbfb7f74ddef71d6bbdb3d7aec3be7959fe2e,4,104,m.tree_max_lemma.1.pre.60
19bbfb7f74ddef71d6bfdb3d7aec3be7959fe2e,4,105,m.tree_min_helper.4.unfold.74
1dbbfb7f74ddef71d6bfdb3d7aec3be7959fe2e,4,106,m.create_tree.2.post.2
1dbbfbff74ddef71d6bfdb3d7aec3be7959fe2e,4,107,m.tree_add_helper.1.pre.21
1dbbfbff74ddef71d6bfdb3d7aec3be7959fe6e,4,108,p.bstRemove.6.pred.146
1dbbfbff74ddef75d6bfdb3d7aec3be7959fe6e,4,109,m.tree_max_helper.3.fold.58
1dbbfbff74ddef75d7bfdb3d7aec3be7959fe6e,4,110,m.tree_min.4.unfold.68
1dbbfbff74fdef75d7bfdb3d7aec3be7959fe6e,4,111,m.tree_main_lemma.3.fold.39
