"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","bst_component_type","example","classification","list_component_type","composite_component_type"
"1ffccffbfffdeedfffdfff9fef3fddfbff7fff7",2,86.9,"p.tree.6.pred.pred_inst.151",64,243049895,"gradual",-133993017,-35.5,"tree","pred","pred_inst","bst","min",NA,NA
"1fff7ff7ffdffffbabfefbfff7e1fdbf7ff9fff",3,87.6,"m.tree_contains_helper.1.pre.pred_inst.30",52,72171245,"gradual",-42490509,-37.1,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
"1fff7ff7ffdffffbabfefbfff7e1fdbf7ff9fff",3,87.6,"m.tree_contains_helper.1.pre.pred_inst.30",56,104524680,"gradual",-62079826,-37.3,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
"1fff7ff7ffdffffbabfefbfff7e1fdbf7ff9fff",3,87.6,"m.tree_contains_helper.1.pre.pred_inst.30",60,153905023,"gradual",-81452624,-34.6,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
"1fff7ff7ffdffffbabfefbfff7e1fdbf7ff9fff",3,87.6,"m.tree_contains_helper.1.pre.pred_inst.30",64,169748681,"gradual",-95836062,-36.1,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
"19b7dfff3fffbdbf7ffbfdbffbfffbffff3fffe",6,87.6,"m.tree_remove_helper.3.fold.pred_inst.92",56,195072060,"gradual",-39355482,-16.8,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"19b7dfff3fffbdbf7ffbfdbffbfffbffff3fffe",6,87.6,"m.tree_remove_helper.3.fold.pred_inst.92",60,266347305,"gradual",-53395913,-16.7,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"19b7dfff3fffbdbf7ffbfdbffbfffbffff3fffe",6,87.6,"m.tree_remove_helper.3.fold.pred_inst.92",64,302567652,"gradual",-64398839,-17.5,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"1fff7fffffdffffbabfffbffffe1fdbffff9fff",3,90.2,"m.tree_add_helper.3.fold.pred_inst.25",60,122094775,"gradual",-31520523,-20.5,"tree_add_helper","fold","pred_inst","bst","min",NA,NA
"1fff7fffffdffffbabfffbffffe1fdbffff9fff",3,90.2,"m.tree_add_helper.3.fold.pred_inst.25",64,135918517,"gradual",-32465579,-19.3,"tree_add_helper","fold","pred_inst","bst","min",NA,NA
"1bf7dfff3ffffdbf7ffffdbffbfffbffff3fffe",6,90.2,"m.create_tree_helper.2.post.pred_inst.6",64,267671750,"gradual",-35077256,-11.6,"create_tree_helper","post","pred_inst","bst","min",NA,NA
"1dffffff76ffeffdf7bffbbdffff3ffffffffef",4,90.8,"p.treeRemove.6.pred.pred_inst.152",60,227762064,"gradual",-38482493,-14.5,"treeRemove","pred","pred_inst","bst","min",NA,NA
"1dffffff76ffeffdf7bffbbdffff3ffffffffef",4,90.8,"p.treeRemove.6.pred.pred_inst.152",64,255688522,"gradual",-50421292,-16.5,"treeRemove","pred","pred_inst","bst","min",NA,NA
"1fff7ffffffffffbabfffbffffe9fdbffff9fff",3,91.5,"m.tree_main_lemma.3.fold.pred_inst.39",60,83605805,"gradual",-37623233,-31,"tree_main_lemma","fold","pred_inst","bst","min",NA,NA
"1fff7ffffffffffbabfffbffffe9fdbffff9fff",3,91.5,"m.tree_main_lemma.3.fold.pred_inst.39",64,88186212,"gradual",-46543754,-34.5,"tree_main_lemma","fold","pred_inst","bst","min",NA,NA
"f7fdfff7ffefffefffffffe4ffffffffffeffd",7,92.2,"m.tree_contains_helper.3.fold.pred_inst.35",52,136135166,"gradual",-41761478,-23.5,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"f7fdfff7ffefffefffffffe4ffffffffffeffd",7,92.2,"m.tree_contains_helper.3.fold.pred_inst.35",56,203010183,"gradual",-58468902,-22.4,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"f7fdfff7ffefffefffffffe4ffffffffffeffd",7,92.2,"m.tree_contains_helper.3.fold.pred_inst.35",60,288476419,"gradual",-84844733,-22.7,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"f7fdfff7ffefffefffffffe4ffffffffffeffd",7,92.2,"m.tree_contains_helper.3.fold.pred_inst.35",64,320487655,"gradual",-107443426,-25.1,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1fff7dffffefff7ffffffffdffff7feef7ffffc",0,92.8,"m.tree_contains_helper.3.fold.pred_inst.33",52,75298090,"gradual",-40629372,-35,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1fff7dffffefff7ffffffffdffff7feef7ffffc",0,92.8,"m.tree_contains_helper.3.fold.pred_inst.33",56,112714058,"gradual",-60809621,-35,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1fff7dffffefff7ffffffffdffff7feef7ffffc",0,92.8,"m.tree_contains_helper.3.fold.pred_inst.33",60,143659428,"gradual",-86061333,-37.5,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1fff7dffffefff7ffffffffdffff7feef7ffffc",0,92.8,"m.tree_contains_helper.3.fold.pred_inst.33",64,176764952,"gradual",-98454627,-35.8,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1bf7dfff3fffffff7ffffdbffbfffbffff7ffff",6,92.8,"p.treeRemove.6.pred.pred_inst.152",64,226904097,"gradual",-40718958,-15.2,"treeRemove","pred","pred_inst","bst","min",NA,NA
"1f7ff5ffefffffffffdffefffdfdfffffdffffb",1,93.5,"m.tree_contains.3.fold.pred_inst.29",56,76831278,"gradual",-43992986,-36.4,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1f7ff5ffefffffffffdffefffdfdfffffdffffb",1,93.5,"m.tree_contains.3.fold.pred_inst.29",60,106349787,"gradual",-59961038,-36.1,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1f7ff5ffefffffffffdffefffdfdfffffdffffb",1,93.5,"m.tree_contains.3.fold.pred_inst.29",64,116915940,"gradual",-75314072,-39.2,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1ffcefffffffffffffffffdfef7fddfbffffff7",2,93.5,"m.tree_main_lemma_bst.3.fold.pred_inst.43",52,60807221,"gradual",-43441272,-41.7,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1ffcefffffffffffffffffdfef7fddfbffffff7",2,93.5,"m.tree_main_lemma_bst.3.fold.pred_inst.43",56,87026825,"gradual",-59179817,-40.5,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1ffcefffffffffffffffffdfef7fddfbffffff7",2,93.5,"m.tree_main_lemma_bst.3.fold.pred_inst.43",60,120851623,"gradual",-86671020,-41.8,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1ffcefffffffffffffffffdfef7fddfbffffff7",2,93.5,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,136760829,"gradual",-102529348,-42.8,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1dfffffff6ffeffdffbffbbfffff7ffffffffef",4,93.5,"m.tree_contains.3.fold.pred_inst.29",52,81597906,"gradual",-32542153,-28.5,"tree_contains","fold","pred_inst","bst","min",NA,NA
