permutation_id,conj_elim,conj_total
2942,1304,1653
2948,1267,1519
2954,1273,1525
2959,1328,1470
2965,1336,1463
2971,1311,1327
2979,1319,1319
2985,1319,1319
2993,1321,1321
2998,1321,1321
3003,1321,1321
3009,1321,1321
3017,202,275
3023,204,277
3029,206,279
3034,206,281
3041,206,282
3047,206,283
3054,208,285
3056,210,287
3062,211,288
3068,215,292
3074,216,293
3080,218,295
3086,224,304
3092,238,327
3098,242,335
3104,242,335
3109,242,338
3114,244,340
3123,246,342
3129,246,342
3134,246,344
3142,256,354
3148,261,363
3154,261,365
3160,278,394
3165,278,396
3170,277,396
3176,275,396
3182,276,399
3188,280,404
3194,282,407
3200,285,410
3206,287,411
3212,326,465
3218,337,478
3224,341,474
3230,341,475
3236,345,478
3242,345,478
3246,349,480
3252,349,480
3259,348,480
3264,350,482
3269,352,484
3275,352,485
3281,352,486
3287,356,490
3291,357,494
3296,364,505
3303,366,507
3309,372,518
3315,377,527
3321,377,530
3326,379,532
3332,398,566
3336,404,570
3342,408,577
3348,408,579
3354,407,579
3360,407,579
3366,408,580
3371,408,581
3377,408,585
3383,410,588
3392,418,602
3398,418,603
3404,417,603
3410,419,605
3416,434,630
3421,444,641
3426,444,645
3433,446,647
3439,450,651
3445,453,655
3450,464,666
3458,473,668
3463,481,682
3468,481,682
3474,485,685
3480,485,685
3486,485,685
3492,493,690
3498,495,692
3504,497,694
3510,497,694
3514,498,701
3521,499,703
3528,499,703
3534,506,714
3541,508,717
3546,516,731
3554,529,757
3560,531,759
3566,541,772
3571,542,773
3580,544,774
3586,548,777
3594,550,779
3601,558,793
3605,558,793
3613,558,793
3618,557,793
3624,555,793
3630,553,791
3636,554,792
3642,554,792
3648,578,827
3653,598,881
3658,616,915
3663,616,917
3669,634,951
3675,638,951
3681,657,986
3687,657,986
3693,659,990
3699,662,992
3705,665,994
3709,666,997
3715,696,1048
3722,715,1083
3728,715,1083
3734,714,1083
3738,714,1083
3744,721,1089
3750,721,1089
3756,749,1167
3762,759,1186
3768,759,1186
3774,834,1292
3780,834,1292
3786,856,1324
3792,857,1324
3798,861,1330
3804,861,1330
3810,864,1333
3816,871,1337
3822,872,1337
3828,879,1341
3834,880,1342
3840,881,1343
3846,902,1384
3852,902,1384
3858,908,1396
3864,908,1396
3870,915,1390
3876,919,1393
3882,924,1396
3886,924,1396
3892,927,1398
3898,930,1400
3903,930,1400
3909,935,1404
3915,951,1406
3921,952,1408
3927,952,1408
3932,956,1412
3940,959,1414
3946,979,1433
3951,991,1433
3959,1000,1439
3964,1000,1439
3970,1020,1458
3978,994,1380
3983,1000,1384
3990,1000,1384
3996,1007,1384
4003,1009,1384
4008,1023,1374
4014,1026,1376
4020,1028,1378
4026,1034,1382
4032,1038,1385
4038,1038,1385
4044,1038,1385
4050,1052,1375
4056,1052,1375
4062,1055,1377
4068,1055,1377
4073,1055,1377
4080,1062,1387
4087,1062,1387
4092,1062,1387
4098,1062,1387
4104,1066,1391
4110,1066,1391
4116,1073,1385
4122,1080,1392
4129,1080,1392
4135,1110,1466
4142,1110,1466
4149,1110,1466
4155,1110,1466
4159,1110,1466
4165,1110,1466
4171,1127,1471
4178,1139,1466
4184,1139,1466
4187,1224,1609
4194,1231,1603
4201,1196,1477
4206,1196,1477
4215,1196,1477
4221,1206,1484
4227,1206,1484
4234,1229,1522
4242,1229,1522
4248,1229,1522
4253,1229,1522
4259,1231,1524
4266,1238,1518
4270,1254,1545
4275,1300,1339
4281,1307,1333
4290,1307,1333
4296,1307,1333
4304,1321,1321
4306,1321,1321
4316,204,274
4318,210,284
4328,212,286
4331,212,287
4338,211,287
4347,213,289
4353,217,295
4357,219,297
4366,221,299
4370,220,299
4376,221,301
4382,221,300
4384,224,302
4390,227,302
4396,229,304
4402,226,304
4407,226,306
4411,230,312
4417,235,316
4423,238,319
4429,243,322
4435,242,322
4441,246,327
4448,244,327
4453,244,327
4458,259,348
4467,259,350
4470,261,352
4479,263,354
4484,260,354
4491,262,356
4499,269,366
4505,288,395
4512,289,396
4515,293,400
4523,294,401
4528,294,402
4537,300,405
4542,300,406
4548,309,422
4556,311,424
4562,312,429
4568,315,431
4574,316,431
4579,316,433
