permutation_id,conj_elim,conj_total
339,191,259
349,193,261
354,193,262
359,193,262
365,193,263
370,195,265
375,201,273
381,198,273
387,199,280
393,199,281
399,200,282
405,198,282
411,200,284
416,202,286
422,202,287
428,204,289
434,205,289
438,207,291
444,207,291
450,207,293
456,209,295
462,211,297
468,212,301
473,212,304
479,212,305
485,212,305
491,212,305
496,214,306
504,216,308
510,220,316
517,234,342
520,234,342
526,234,343
532,242,363
538,242,366
544,250,381
550,252,383
556,258,394
562,257,394
564,260,396
571,262,398
578,268,403
583,268,407
589,268,411
595,268,417
601,268,417
607,268,419
613,268,422
620,286,460
625,297,479
630,297,479
636,299,482
644,299,482
648,298,482
654,302,488
660,302,488
667,314,512
674,319,517
680,334,546
686,335,547
692,341,558
698,342,560
705,359,607
712,363,607
722,363,607
728,368,611
734,370,615
740,370,616
746,373,618
752,375,619
756,384,633
762,391,647
768,392,648
775,392,650
781,400,666
787,401,668
793,406,674
799,406,674
805,409,677
809,409,679
816,409,679
822,464,785
828,468,788
835,468,788
840,469,790
846,476,791
852,509,853
858,510,853
863,510,854
869,576,978
875,580,982
879,583,984
885,588,989
891,589,989
897,598,996
903,599,997
909,603,1003
915,632,1062
922,637,1065
927,640,1067
932,640,1067
937,642,1069
943,645,1069
949,648,1071
952,647,1071
960,651,1074
968,653,1076
974,667,1085
978,668,1087
986,663,1081
990,671,1091
998,681,1098
1001,689,1105
1009,698,1112
1015,702,1113
1021,705,1117
1025,706,1119
1030,708,1119
1036,716,1129
1039,716,1129
1045,723,1136
1054,727,1139
1057,731,1147
1063,805,1243
1070,812,1246
1076,817,1251
1082,817,1251
1089,820,1258
1096,820,1258
1101,831,1269
1106,833,1273
1114,836,1275
1120,840,1279
1125,843,1283
1131,843,1283
1137,843,1283
1144,848,1288
1150,846,1293
1154,848,1295
1162,877,1354
1170,878,1354
1175,879,1355
1182,879,1355
1188,887,1369
1192,887,1369
1197,887,1369
1206,916,1428
1215,916,1428
1221,916,1428
1224,924,1438
1234,924,1438
1237,934,1445
1244,1023,1548
1251,1028,1555
1257,1028,1555
1263,1052,1601
1270,1052,1601
1277,1063,1621
1284,1066,1617
1290,1069,1620
1296,1098,1657
1300,1092,1662
1308,1101,1654
