stress,mean,stddev,median,user,system,min,max
0,0.12927341005333334,0.001820661383799788,0.12895226422,0.05199038,0.02556407333333333,0.12697843122000002,0.13208534722
1,0.13044189622000002,0.0017286224833390343,0.12990378522,0.05236121333333332,0.02581857333333333,0.12856230622,0.13347734722000001
2,0.12887152822,0.004264424306289233,0.12881203522,0.05198987999999999,0.025465573333333335,0.12336105622000001,0.13586413922
3,0.12927792405333335,0.003379902659165765,0.13001070172,0.05228054666666667,0.025585073333333333,0.12307580622,0.13307430622000002
4,0.13001881272000002,0.004011356378927649,0.13074697272000002,0.051977046666666665,0.026373406666666665,0.12357147222,0.13491559722000002
5,0.12734204888666667,0.005556552329881925,0.12493286822,0.052212213333333334,0.02626257333333333,0.12294201422,0.13688434722
6,0.13185014605333334,0.004652815272497475,0.13073713922000002,0.05220038,0.02589874,0.12586430622000003,0.13774009722000002
7,0.12948816005333333,0.004916173867243241,0.12834705572,0.05215621333333333,0.02576074,0.12437034722000001,0.13586318122000002
8,0.13068946555333336,0.003204573375226517,0.13119195172000003,0.052192046666666665,0.026173073333333335,0.12528101422000001,0.13390109722000001
9,0.13062250038666667,0.005614135518911997,0.13223455572,0.05225888,0.026214073333333334,0.12286093122000002,0.13636130622
10,0.12892757655333334,0.005729611870031119,0.12990759722,0.052071046666666655,0.026057739999999996,0.12187163922000001,0.13574768122000003
11,0.13235104205333334,0.007167369610698151,0.13479276422000003,0.05226871333333333,0.026114073333333335,0.11805043122000002,0.13691176422
12,0.13356052105333335,0.006814867406115116,0.13348774322,0.05254204666666667,0.026365239999999998,0.12310338922000003,0.14432247222000003
13,0.13008939622000001,0.004154800619518963,0.13061486872,0.052443713333333336,0.026143739999999995,0.12413693122000002,0.13580734722
14,0.13068153522,0.0023005349356475338,0.13133541022,0.052295379999999995,0.026273406666666665,0.12763884722000002,0.13345905622
15,0.1314664168866667,0.004573627230321977,0.13062397222,0.05254204666666667,0.02615057333333333,0.12520451422,0.13781009722
16,0.13125484055333336,0.004437620693634356,0.13092428472,0.052253879999999996,0.026269073333333327,0.12584080622000002,0.13704209722000002
17,0.13166079205333334,0.0026459713813746714,0.13069453522000002,0.05252104666666666,0.02631324,0.12920530622,0.13608138922000002
18,0.13058209072000002,0.00498850031573754,0.13203966022000002,0.05206937999999999,0.02597690666666666,0.12245726422000001,0.13586972222000002
19,0.1324896948866667,0.00152829880304627,0.13242016022000003,0.05251104666666667,0.026320239999999998,0.13060884722000002,0.13497855622000002
20,0.12859185438666668,0.005113071943751643,0.12856974322000003,0.05218954666666667,0.025956239999999995,0.12099138922000001,0.13481730622000002
21,0.13328216005333335,0.0025568942503583006,0.13301834772,0.052495879999999995,0.026240239999999998,0.13014843122000003,0.13662338922
22,0.13104227122,0.004511909685997674,0.13182218072000002,0.052392379999999995,0.026315906666666666,0.12414693122,0.13562626422000001
23,0.13078088905333335,0.002736317502746889,0.13116526422000002,0.05202604666666666,0.025931739999999995,0.12729572222000002,0.13453084722000003
24,0.13108361838666668,0.0037580045976849156,0.12974349372000002,0.052204379999999995,0.026181573333333333,0.12729209722,0.13610009722000002
25,0.12892338222000002,0.0036213936734571135,0.13013432672000003,0.05212754666666666,0.02613357333333333,0.12385234722000002,0.13296468122000002
26,0.13328785455333336,0.003768111497509893,0.13509845172,0.052483379999999996,0.026285073333333336,0.12810863922000001,0.13714363922
27,0.13196823672,0.0034430834881151893,0.13342843122,0.05236838,0.026199073333333333,0.12606205622000002,0.13467051422
28,0.12998333355333339,0.0061880055949669775,0.13157116022,0.05231238000000001,0.026108740000000002,0.12193184722000001,0.13610859722000002
29,0.13274236838666667,0.0029685025857686875,0.13206036822,0.05246921333333333,0.026342240000000003,0.12886309722,0.13637880622
30,0.13218128488666667,0.003436617056183517,0.13264905572000002,0.05225771333333334,0.02616957333333333,0.12718193122000002,0.13670334722000002
31,0.13044698638666669,0.0031639834038770407,0.13001403522,0.05231021333333333,0.02625957333333333,0.12600068122000002,0.13472309722
32,0.13027981972000002,0.005699663254415749,0.12999007672000001,0.052306380000000006,0.026160740000000002,0.12141343122000002,0.13762972222000003
33,0.13213878522000003,0.002827071193467684,0.13208013922,0.05270138,0.026267739999999998,0.12889188922000003,0.13557580622
34,0.13086943088666667,0.004522957956291819,0.13057463922,0.052302713333333334,0.026192740000000003,0.12539755622,0.13645655622000002
35,0.13385297955333333,0.0045569901391622454,0.13401801422,0.052656546666666665,0.026299906666666668,0.12751343122,0.13852143122000002
36,0.13080451422000003,0.004870022872102923,0.13138007672000002,0.05225071333333334,0.02602024,0.12229634722000002,0.13721463922000002
