"","name","stress","mean"
"1","none",0,0.16639166928
"2","none",1,0.168036683613333
"3","none",2,0.166190363613333
"4","none",3,0.16430458628
"5","none",4,0.16708468328
"6","none",5,0.166551613946667
"7","none",6,0.16582096128
"8","none",7,0.167455710946667
"9","none",8,0.165683196946667
"10","none",9,0.165873516946667
"11","none",10,0.166288849946667
"12","none",11,0.169014516613333
"13","none",12,0.169768099946667
"14","none",13,0.169653627613333
"15","none",14,0.168819710946667
"16","none",15,0.167567933613333
"17","none",16,0.170044335946667
"18","none",17,0.169276474613333
"19","none",18,0.164962238946667
"20","none",19,0.16728490528
"21","none",20,0.169209335946667
"22","none",21,0.169709141613333
"23","none",22,0.163109530613333
"24","none",23,0.170029974946667
"25","none",24,0.171582044613333
"26","none",25,0.171357530613333
"27","none",26,0.171278099946667
"28","none",27,0.168809085946667
"29","none",28,0.167811613946667
"30","none",29,0.16531230828
"31","none",30,0.16689530828
"32","none",31,0.168897155613333
"33","none",32,0.171084863946667
"34","none",33,0.17008191928
"35","none",34,0.17159544728
"36","none",35,0.17117094728
"37","none",36,0.170227863946667
"38","none",37,0.17047378028
"39","none",38,0.17125641928
"40","none",39,0.17277489128
"41","none",40,0.16890980828
"42","none",41,0.17037832228
"43","none",42,0.17289879428
"44","none",43,0.173852363946667
"45","none",44,0.170942724946667
"46","none",45,0.170798141613333
"47","none",46,0.17187105828
"48","none",47,0.17507894728
"49","none",48,0.17328919728
"50","none",49,0.17267221128
"51","none",50,0.175559571946667
"52","none",51,0.174685960946667
"53","none",52,0.17893503028
"54","none",53,0.177189224946667
"55","none",54,0.175131210946667
"56","none",55,0.177074641613333
"57","none",56,0.175779432946667
"58","none",57,0.17748029428
"59","none",58,0.175927585946667
"60","none",59,0.17699329428
"61","none",60,0.176285460946667
"62","none",61,0.174836863946667
"63","none",62,0.177176655613333
"64","none",63,0.18087080828
"65","none",64,0.17938944728
"66","none",65,0.178002877613333
"67","none",66,0.18420743328
"68","none",67,0.175129780613333
"69","none",68,0.177238974946667
"70","none",69,0.178912252613333
"71","none",70,0.181678474946667
"72","none",71,0.18332758628
"73","none",72,0.18407501628
"74","none",73,0.18692091928
"75","none",74,0.188661752946667
"76","none",75,0.18812582228
"77","none",76,0.183340169613333
"78","none",77,0.182436849946667
"79","none",78,0.19123668328
"80","none",79,0.18887205828
"81","none",80,0.18835216928
"82","none",81,0.187700141613333
"83","none",82,0.188569238613333
"84","none",83,0.191183835946667
"85","none",84,0.195686752946667
"86","none",85,0.188145099613333
"87","none",86,0.189687377946667
"88","none",87,0.194224530613333
"89","none",88,0.19247755828
"90","none",89,0.195416905613333
"91","none",90,0.19064415528
"92","none",91,0.198367863946667
"93","none",92,0.19551368328
"94","none",93,0.198308210946667
"95","none",94,0.19539733628
"96","none",95,0.19707757228
"97","none",96,0.19609935028
"98","none",97,0.20407751628
"99","none",98,0.199651627946667
"100","none",99,0.202756807946667
"101","none",100,0.207950794613333
"102","all",0,0.16639166928
"103","all",1,0.168036683613333
"104","all",2,0.166190363613333
"105","all",3,0.16430458628
"106","all",4,0.16708468328
"107","all",5,0.166551613946667
"108","all",6,0.16582096128
"109","all",7,0.167455710946667
"110","all",8,0.165683196946667
"111","all",9,0.165873516946667
"112","all",10,0.166288849946667
"113","all",11,0.169014516613333
"114","all",12,0.169768099946667
"115","all",13,0.169653627613333
"116","all",14,0.168819710946667
"117","all",15,0.167567933613333
"118","all",16,0.170044335946667
"119","all",17,0.169276474613333
"120","all",18,0.164962238946667
"121","all",19,0.16728490528
"122","all",20,0.169209335946667
"123","all",21,0.169709141613333
"124","all",22,0.163109530613333
"125","all",23,0.170029974946667
"126","all",24,0.171582044613333
"127","all",25,0.171357530613333
"128","all",26,0.171278099946667
"129","all",27,0.168809085946667
"130","all",28,0.167811613946667
"131","all",29,0.16531230828
"132","all",30,0.16689530828
"133","all",31,0.168897155613333
"134","all",32,0.171084863946667
"135","all",33,0.17008191928
"136","all",34,0.17159544728
"137","all",35,0.17117094728
"138","all",36,0.170227863946667
"139","all",37,0.17047378028
"140","all",38,0.17125641928
"141","all",39,0.17277489128
"142","all",40,0.16890980828
"143","all",41,0.17037832228
"144","all",42,0.17289879428
"145","all",43,0.173852363946667
"146","all",44,0.170942724946667
"147","all",45,0.170798141613333
"148","all",46,0.17187105828
"149","all",47,0.17507894728
"150","all",48,0.17328919728
"151","all",49,0.17267221128
"152","all",50,0.175559571946667
"153","all",51,0.174685960946667
