stress,mean,stddev,median,user,system,min,max
0,0.13415562112666668,0.004699110287461009,0.13415082245999999,0.05409677999999999,0.026400693333333333,0.12852523946,0.13957353046
1,0.13347003062666665,0.0045997122199480074,0.13463744746,0.05401544666666666,0.02610419333333333,0.12530378045999999,0.13765357246
2,0.13648298196,0.004315048907412698,0.13574828045999998,0.05412278,0.026373526666666664,0.13108773946,0.14364153046
3,0.13439033629333333,0.0017824777456140544,0.13392888496,0.05407978,0.02629852666666666,0.13244453046,0.13697748946
4,0.13361757929333332,0.006201282634695833,0.13610186396,0.05396794666666666,0.02620152666666666,0.12102090546000001,0.13684323946
5,0.13566668362666667,0.0027870425138862473,0.13569384346,0.05405327999999999,0.026261359999999997,0.13203015546,0.13878473946
6,0.13338351712666666,0.0048080684801375985,0.13469448946,0.05388961333333333,0.026168359999999998,0.12681611446,0.13796736446
7,0.13351196112666666,0.005406634671090424,0.13594409295999998,0.05373411333333333,0.02612686,0.12422119746,0.13795728046
8,0.13412679479333334,0.0029661378476804946,0.13522234346,0.05403527999999999,0.026372359999999997,0.12902223946,0.13660532246
9,0.13542647529333332,0.0035590180251866953,0.13591013495999998,0.054205946666666664,0.02647586,0.13032857246,0.13980207246
10,0.13361818362666666,0.0031968390808514843,0.13426115596,0.053665946666666665,0.026040193333333333,0.12794748946,0.13691390546
11,0.13373971146,0.004165096434535647,0.13451088496000002,0.05422294666666666,0.026235026666666664,0.12820823946,0.13982303046
12,0.13296157929333333,0.004341736790027067,0.13277798896,0.05401511333333333,0.026231526666666668,0.12532569746,0.13723144746
13,0.13355641262666668,0.004291733616282604,0.13501509296,0.054014113333333336,0.02626386,0.12755769746,0.13822078046
14,0.13049835029333334,0.0070803038114620204,0.13019759345999998,0.05401628,0.02614086,0.12193753046000001,0.14015657246
15,0.13363814195999998,0.003382132963913854,0.13444473946,0.053962446666666664,0.02615586,0.12784665545999999,0.13682365546
16,0.13306423229333333,0.0038524077070100173,0.13222009346000002,0.05394527999999999,0.026153193333333328,0.13014086446,0.14041898946
17,0.13377578062666665,0.002716950272104552,0.13478471796000002,0.05371011333333333,0.026107859999999997,0.13031736446,0.13642057246
18,0.13103246829333334,0.00548262904952732,0.13358800996,0.05375661333333332,0.026312860000000004,0.12370061446000001,0.13608353046
19,0.13336198229333335,0.00251739763641547,0.13401846846,0.05400511333333333,0.026234359999999998,0.12852423946,0.13589582246
20,0.13155969062666664,0.0027479839619128335,0.13300634346,0.05362594666666667,0.02591269333333333,0.12726573946,0.13390244746
21,0.13316602396,0.004424289477476976,0.13334919746,0.05393877999999999,0.026131026666666664,0.12654332246,0.13894748946
22,0.13425688496,0.0031668653338354454,0.13368059346,0.05409361333333334,0.026388693333333334,0.13030265546,0.13830215546
23,0.13423890596,0.0027856439532299754,0.13491400996,0.05411178,0.026252026666666664,0.13041198946,0.13690586446
24,0.13769283646,0.005946569137689437,0.13873988496,0.054179946666666666,0.026314693333333333,0.12771882246,0.14500261446
25,0.13391210012666666,0.004019272185451321,0.13506896796,0.05390861333333333,0.026164193333333332,0.12671023946,0.13774432246
26,0.1350617737933333,0.005313115668538213,0.13335694745999999,0.05397177999999999,0.026298359999999996,0.13006478046,0.14266836446
27,0.13312379462666668,0.0043046849753964255,0.13269950996,0.05381244666666666,0.02629969333333333,0.12868836446,0.14004815546
28,0.13453386429333333,0.0023107445325875713,0.13473109346,0.05418044666666666,0.026316526666666663,0.13118907246,0.13783057246
29,0.13235083645999998,0.006228983172178386,0.13428198945999997,0.053698279999999994,0.02614902666666667,0.12126061446000001,0.13951286446
30,0.13145316262666665,0.00340103376069397,0.13238417646,0.05389444666666666,0.026067859999999998,0.12577486446,0.13475657246
31,0.13754182929333333,0.0017188087477029454,0.13769417645999998,0.05443161333333333,0.02653686,0.13525403046,0.13981815546
32,0.13278341296,0.0032743321553812283,0.13334873946,0.05391244666666666,0.02622486,0.12705648946,0.13687090546
33,0.13307207946,0.005380359936100891,0.13407878095999998,0.053961613333333325,0.026188693333333332,0.12605669746,0.13852336446
34,0.13555346129333332,0.00312310917190056,0.13648719746,0.05411461333333333,0.026490026666666666,0.13130315546,0.13882898946
35,0.13399299596,0.003667614453553365,0.13373763496000002,0.05402261333333333,0.026366359999999995,0.12923307246,0.13948153046
36,0.13427464179333334,0.005665124664488203,0.13444315546000002,0.05392428,0.026070526666666663,0.12446857246000002,0.14084411446
37,0.13181399596,0.0039268848532919174,0.13171553046,0.05390877999999999,0.02624302666666667,0.12671586446,0.13777715546
38,0.13658503079333334,0.0012360921183624876,0.13701036396,0.054334279999999985,0.026433026666666665,0.13493561446,0.13776165546
39,0.13345364179333333,0.004985026404663533,0.13432732246,0.053974446666666655,0.02618536,0.12534740546,0.13920065546
40,0.13271989896,0.0026357607906367145,0.13210771846000002,0.05375694666666666,0.026145526666666658,0.13006332246,0.13579957246
41,0.13332719046,0.004960385358427834,0.13609873896000002,0.053977779999999996,0.026395693333333334,0.12688503046,0.13740836446
42,0.13300131546000002,0.004517601334203757,0.13396853046,0.054156779999999995,0.026064359999999998,0.12425269746000002,0.13692998946
43,0.13298944046000002,0.004498690620358282,0.13223878096000002,0.05388827999999999,0.025947526666666665,0.12829540546,0.13963557246
44,0.13591108629333334,0.004132539935888022,0.13611590596,0.053973613333333316,0.026181359999999997,0.12850998946,0.14012328046
45,0.13436341246000003,0.004176977436735081,0.13475209296000001,0.053962279999999994,0.026185026666666666,0.12841553046,0.13942828046
46,0.13889183629333332,0.007736914549916481,0.13822934346,0.05434644666666666,0.02630386,0.13073340546,0.15202653046
47,0.13427064196,0.004132303232494811,0.13414800995999998,0.05405077999999999,0.02618936,0.12835528046,0.13991611446
48,0.13400466979333334,0.00432475626528228,0.13386692696,0.053919113333333324,0.02614386,0.12808578046,0.13902190546
49,0.13330539196,0.004340089158333855,0.13331944746000002,0.054073613333333326,0.026262526666666664,0.12895223946,0.14108711446
50,0.13615198229333333,0.004348416229862337,0.13756465596,0.054079779999999994,0.026164193333333332,0.13074011446,0.14027686446
51,0.13196365579333333,0.006157066496670945,0.13177596846,0.05384144666666666,0.026273359999999996,0.12267703046000002,0.13875065546
52,0.13765863496,0.00964010202934618,0.13487194746,0.05454961333333333,0.026264026666666666,0.12957073946,0.15681148946
53,0.13357220462666666,0.0036694126352353174,0.13338790596,0.053870613333333324,0.026145526666666665,0.12839298946,0.13867936446
54,0.13463723912666667,0.001991815597533538,0.13477548946,0.054172946666666666,0.026229193333333334,0.13185465546,0.13673282246000001
55,0.13528881546000002,0.0047937328602358715,0.13410484296000003,0.05413594666666666,0.026343526666666662,0.12972098946,0.14137040546
56,0.13098880179333333,0.0033652156483799742,0.13246348946,0.053789113333333326,0.026144526666666664,0.12572711446,0.13426636446
57,0.13510539879333333,0.003378146233167873,0.13670065546,0.05409211333333333,0.02637019333333333,0.12922257246,0.13755748946
58,0.13323160712666668,0.003064121053005555,0.13231909296,0.05384377999999999,0.026347359999999997,0.12988511446,0.13716078046
59,0.13310861412666666,0.004260139299597826,0.13352528096,0.05392061333333333,0.026168526666666664,0.12563832246,0.13761203046
60,0.13157560029333334,0.004799993268032708,0.13238521846,0.053651946666666665,0.025956359999999998,0.12359840546000002,0.13615228046
61,0.13568887795999998,0.0009537908237591162,0.13545594746,0.054206946666666665,0.026295359999999993,0.13437469746,0.13683894746
62,0.13270247512666666,0.004882512675251614,0.13391196796,0.05405328,0.026129859999999994,0.12532486446,0.13758232246
63,0.13240754479333336,0.003383089002856451,0.13236675996000002,0.05409811333333333,0.026307026666666667,0.12833490546,0.13777186446
64,0.1368324612933333,0.003301114997277164,0.13789219746,0.05424911333333332,0.026384526666666668,0.13236769746,0.13983928046
65,0.13473380146,0.0019439017691449312,0.13399907246,0.05408827999999999,0.02613886,0.13277757246,0.13820090546
66,0.13607053079333334,0.002585238082039615,0.13620271845999998,0.05423444666666666,0.02638436,0.13283865546,0.14023236446
67,0.13415780846,0.0050881521321179115,0.13380698896,0.054017613333333325,0.026187026666666665,0.12880773946,0.14169644746
68,0.13303323212666665,0.004809912337342154,0.13162878096,0.05398928,0.026235526666666665,0.12821078046,0.13993940546
69,0.13521932945999998,0.0030728298833647854,0.13546188496,0.05409661333333333,0.02623319333333333,0.12981369746,0.13911915546
70,0.13143922546,0.0062066992151722875,0.13385240596,0.054088946666666665,0.026303026666666663,0.12346798946000002,0.13751748946
71,0.13465546162666667,0.0047414428881510495,0.13593115596,0.05410428,0.026207693333333334,0.12607036446,0.13964836446
72,0.13353319079333334,0.004809974142660289,0.13457586446,0.05416861333333333,0.02607252666666667,0.12517648946,0.13830311446
73,0.13341682946,0.004562428279634121,0.13539682246,0.05402894666666667,0.026459026666666663,0.12531448946,0.13766478046
74,0.13371500996,0.002958257308322443,0.13365134346000002,0.05415594666666667,0.02630836,0.12965344746,0.13873815546
75,0.13266389196,0.0033320692796808267,0.13401744746,0.05394028,0.026051859999999996,0.12749886446,0.13552540546
76,0.13584601679333333,0.00451521761977678,0.13687840546000002,0.05404844666666666,0.026306193333333328,0.12868519746,0.14091269746
77,0.13461530179333334,0.0040456570821617984,0.13525965596,0.05399011333333332,0.026183026666666664,0.12726211446,0.13905944746
78,0.13183805162666665,0.004615084803805385,0.13252819746,0.05384827999999999,0.026597193333333335,0.12500819746,0.13832623946
79,0.13477352379333332,0.003681371028654445,0.13418648896000002,0.054046279999999995,0.026301693333333334,0.12927998946,0.14045628046
80,0.13403385729333334,0.004081805343041941,0.13464236446,0.054100946666666656,0.02614902666666666,0.12659361446,0.13865640546
81,0.13325332946,0.004412501999687883,0.13256763496,0.054003446666666656,0.02632169333333333,0.12889507246,0.14072982246
82,0.13298362096000002,0.0040836091380565655,0.13466332246,0.054005113333333334,0.02619019333333333,0.12469840546000001,0.13503940546
83,0.13481307962666667,0.0037988585878029955,0.13444911446,0.05433511333333333,0.026140526666666664,0.13054707246,0.14092773946
84,0.13354688512666665,0.0022506459641724813,0.13418446845999998,0.05407544666666666,0.026151359999999995,0.13066344746,0.13659261446
85,0.13417292662666666,0.004767025341484959,0.13503850996,0.054005946666666665,0.026102693333333333,0.12837928046,0.13910757246
86,0.13304711412666667,0.0038198678335811436,0.13473769746,0.054011446666666664,0.02607169333333333,0.12704269746,0.13630578046
87,0.13570335729333335,0.0038789433313442642,0.13579330196,0.05402927999999999,0.02621736,0.12918694746,0.13959819746
88,0.13479255162666667,0.0037100613817584375,0.13552771846,0.054136113333333326,0.026249026666666665,0.12866057246,0.13816361446
89,0.13433238479333334,0.0026615209032527756,0.13401859346,0.054232279999999994,0.026198359999999993,0.13106390546,0.13922253046
90,0.13277034346000002,0.005357204471054354,0.13575786446,0.05395844666666666,0.02609069333333333,0.12402428046000001,0.13657707246
91,0.13720130846,0.007517013298260922,0.13747032246000002,0.05433644666666667,0.026553359999999998,0.12455815546,0.14691586446
92,0.13576628762666665,0.0038373546333946946,0.13594382246,0.05441278,0.02633836,0.12942165546,0.14137403046
93,0.13337536412666665,0.005621344242370636,0.13400419746,0.05409027999999999,0.026083026666666665,0.12615690546,0.14064790546
94,0.13280584329333334,0.00519172499821257,0.13329511446,0.054170446666666656,0.026072026666666664,0.12446415546000002,0.13827019746
95,0.13598284329333335,0.003255146072084905,0.13527155146,0.054401113333333334,0.026572526666666662,0.13288582246,0.14143611446
96,0.13306885046000003,0.006087617046753217,0.13543165596,0.05420361333333332,0.026130859999999995,0.12227173946000001,0.13789007246
97,0.13475039196000002,0.004065451492994679,0.13557207246,0.05402178,0.02603686,0.12787240546,0.13990361446
98,0.13444619045999998,0.002419019538831708,0.13365290596,0.05396344666666666,0.026101693333333332,0.13216353046,0.13746519746
99,0.1333494542933333,0.003178778063050353,0.13266040546000002,0.05422911333333333,0.02630536,0.13012869746,0.13891015546
100,0.13342205162666668,0.0045467774730197415,0.13309623896,0.05391794666666666,0.026150859999999998,0.12857207246,0.14041719746$
