stress,mean,stddev,median,user,system,min,max
0,0.14804427650000004,0.0014819464114727728,0.14879630450000003,0.06123519333333333,0.02739332,0.14633709550000001,0.14899942950000003
1,0.14713133183333335,0.005702407774051262,0.15006009550000002,0.06101719333333333,0.02692965333333333,0.14055967950000003,0.15077422050000003
2,0.14527955450000002,0.0026000045342508414,0.1463751795,0.06082186,0.026563986666666668,0.14231105450000003,0.14715242950000001
3,0.14337076250000003,0.005559335678771697,0.14307305450000002,0.06084219333333333,0.026894653333333334,0.13796626250000002,0.1490729705
4,0.14646445683333337,0.0016642546230358857,0.14632251250000003,0.061386859999999994,0.02700832,0.14487572050000003,0.14819513750000002
5,0.1438355541666667,0.002683788475892492,0.14327488750000003,0.06103986,0.026992653333333335,0.14147638750000002,0.14675538750000003
6,0.1485829015,0.002164124185776553,0.1486223875,0.061299193333333335,0.027201986666666667,0.14639930450000002,0.15072701250000003
7,0.14368254016666668,0.0029326757571876767,0.14416188750000003,0.06100452666666666,0.026886986666666668,0.14053972050000002,0.1463460125
8,0.14708767916666668,0.000824514561255498,0.1468835125,0.06076119333333333,0.02728432,0.14638442950000002,0.14799509550000003
9,0.14396038750000004,0.004991934558529291,0.14450372050000002,0.060971859999999996,0.026777320000000004,0.13871901250000002,0.14865842950000002
10,0.14681498483333336,0.005003249896609331,0.14775363750000003,0.06149452666666667,0.02729232,0.14140888750000002,0.1512824295
11,0.1500207761666667,0.0025985220238717065,0.15079051250000003,0.06162719333333333,0.02750832,0.14712434550000003,0.15214747050000002
12,0.1429591791666667,0.0016348491058682775,0.14214913750000002,0.06106052666666667,0.026894986666666666,0.14188751250000003,0.14484088750000002
13,0.14907285983333338,0.001486354956107834,0.14869676250000002,0.061625193333333335,0.027235986666666667,0.14781067950000001,0.1507111375
14,0.1460326931666667,0.00038515507371749644,0.14621547050000003,0.06085219333333333,0.026951986666666664,0.14559017950000003,0.14629242950000002
15,0.14253176250000002,0.005776795116304876,0.14291297050000001,0.06099119333333333,0.027022986666666665,0.13657380450000003,0.1481085125
