"id","VCs","conj_type","path_id","level_id","example","% Specified"
"800000000000000000000000000000000000000",138,"eliminated",0,1,"bst",0.478468899521531
"800001000000000000000000000000000000000",140,"eliminated",0,2,"bst",0.956937799043062
"800001000000000000000400000000000000000",141,"eliminated",0,3,"bst",1.43540669856459
"800001000000000000000408000000000000000",143,"eliminated",0,4,"bst",1.91387559808612
"801001000000000000000408000000000000000",147,"eliminated",0,5,"bst",2.39234449760766
"40000000801001000000000000000408000000000000000",146,"eliminated",0,6,"bst",2.87081339712919
"40000000801001000000000100000408000000000000000",145,"eliminated",0,7,"bst",3.34928229665072
"40000000801001000000000100002408000000000000000",149,"eliminated",0,8,"bst",3.82775119617225
"40000040801001000000000100002408000000000000000",148,"eliminated",0,9,"bst",4.30622009569378
"40000040c01001000000000100002408000000000000000",151,"eliminated",0,10,"bst",4.78468899521531
"40000040c01001000200000100002408000000000000000",149,"eliminated",0,11,"bst",5.26315789473684
"8040000040c01001000200000100002408000000000000000",149,"eliminated",0,12,"bst",5.74162679425837
"10000000000000008040000040c01001000200000100002408000000000000000",146,"eliminated",0,13,"bst",6.2200956937799
"10000002000000008040000040c01001000200000100002408000000000000000",145,"eliminated",0,14,"bst",6.69856459330144
"10000002001000008040000040c01001000200000100002408000000000000000",145,"eliminated",0,15,"bst",7.17703349282297
"10000022001000008040000040c01001000200000100002408000000000000000",147,"eliminated",0,16,"bst",7.6555023923445
"10000032001000008040000040c01001000200000100002408000000000000000",149,"eliminated",0,17,"bst",8.13397129186603
"10000032001000008040000040c01001000200800100002408000000000000000",149,"eliminated",0,18,"bst",8.61244019138756
"10000032001000008040000040c01001000200800100002608000000000000000",153,"eliminated",0,19,"bst",9.09090909090909
"10000032001000008040000040c01101000200800100002608000000000000000",153,"eliminated",0,20,"bst",9.56937799043062
"10000032001000008044000040c01101000200800100002608000000000000000",159,"eliminated",0,21,"bst",10.0478468899522
"10000032001000008044000040c01101000200800120002608000000000000000",159,"eliminated",0,22,"bst",10.5263157894737
"10000032001000008044080040c01101000200800120002608000000000000000",159,"eliminated",0,23,"bst",11.0047846889952
"10000032001000008044080040c01101000200900120002608000000000000000",162,"eliminated",0,24,"bst",11.4832535885167
"10000032001040008044080040c01101000200900120002608000000000000000",165,"eliminated",0,25,"bst",11.9617224880383
"10000032001040008044080040c01101000200900120402608000000000000000",165,"eliminated",0,26,"bst",12.4401913875598
"10000032001040008044080240c01101000200900120402608000000000000000",167,"eliminated",0,27,"bst",12.9186602870813
"10000032001040008244080240c01101000200900120402608000000000000000",166,"eliminated",0,28,"bst",13.3971291866029
"10000032001040008244080240c01103000200900120402608000000000000000",168,"eliminated",0,29,"bst",13.8755980861244
"10000032001040008244080240e01103000200900120402608000000000000000",168,"eliminated",0,30,"bst",14.3540669856459
"10008032001040008244080240e01103000200900120402608000000000000000",168,"eliminated",0,31,"bst",14.8325358851675
"10008132001040008244080240e01103000200900120402608000000000000000",168,"eliminated",0,32,"bst",15.311004784689
"1000a132001040008244080240e01103000200900120402608000000000000000",168,"eliminated",0,33,"bst",15.7894736842105
"1000a1320010c0008244080240e01103000200900120402608000000000000000",171,"eliminated",0,34,"bst",16.2679425837321
"1000a1320010c0008244080240e01103000200900120402618000000000000000",174,"eliminated",0,35,"bst",16.7464114832536
