id,95th,5th,median,mean,stdev,min,max
6dbddb77775c7d75dbb7fdab76ffb75d6debb6dbeddab7dfefbae7be320e68ce3b,500519205.60,497754811.0,497754811,498379683.8,1560202.72,497279729,501004082
20000000000808000000000000000000008000000000000000000000000,255685009.20,254470713.0,254470713,254592057.4,844284.52,253782172,255886522
400000000000000000002000000000000000000000000000000000000,261998613.80,260705965.0,260705965,261091208,680759.01,260523877,262148292
88d192133546c651924d40a628a2055038333402099120b051a80000000000000,438574560.40,436895592.0,436895592,436860151.6,1770835.07,434098268,438706101
4db5ca774609797598a73c3b52beb7547ba0b7cbed0024db6ef002202000003000,671854669.80,668380395.0,668380395,669075844.6,2032278.08,667552785,672505111
dbf5a325511247190b7fd3b56fe86451be93791ed5bb4cdec7884002080000040,548338277.00,545854904.0,545854904,546188362.2,2168363.35,542935983,548453614
2501c800001008210022800144c0244010220202081002008c0882000000000001,307409749.20,294366280.0,294366280,297274632,7387117.51,292294777,310268966
2098da75624c28645b155829502d8309216936d9845a10962cba03000000000002,480729297.00,466789875.0,466789875,469073507,8639840.96,461498483,483868819
68a8ca3767197c719b25c9b3362724553fa397dbe591b71fed7802090000000008,514566731.60,510357484.0,510357484,511021179.2,2704063.63,508583439,515199221
45bd5b77775d6955dbb7fdbb76df937d6febb7dbeddbb4d6effa817e1e3c1821c7,661476467.60,658271907.0,658271907,659345037.4,1943458.43,657586519,661489310
1200b3321010c60893449a236cf911030202419441a040e65f000000000000000,423740667.80,407939136.0,407939136,412013236.8,8589607.15,407665889,427326703
4db5ca664609787598a53c3b52be355479a0b7cb4d0024db6c7002002000003000,536347232.00,535108031.0,535108031,534648733.6,1762532.47,532398735,536413348
1b80902100838254884d9090471000c3061250024c931c1c88000000000000000,372717533.00,371727287.0,371727287,371634703.2,1380881.77,369336580,372719018
6db95b77765d7d75dfb7f9bb76ffb35d7febb6dba559b7dfcff0a7e37e02440031,718623391.40,713427490.0,713427490,714120213.4,3778907.07,709209364,719256597
a912010200204010044008002021183208800008190041000080000000000000,291293886.40,289173251.0,289173251,289113824.4,2068410.88,286318527,291444458
611103403211085518b449b204b386091ec196c0881a219060e684000000000002,400693545.40,398831999.0,398831999,399434058.2,1116697.62,398305298,400732811
b4a0641017c604081c09816032408348100c00908208ba0c284000000000000,385417559.80,371115056.0,371115056,374116216.6,8218608.58,368643885,388376513
2030794541005d0498a7f0a07241951409481258a598160880fa01000000000000,436026579.40,429889965.0,429889965,431415247.4,4114746.07,426714040,436229996
6cbf5b67734d7d75db97fdba76ffb75d5febb7dbed99b3dfeffaedb576a238a80f,515210250.40,514354620.0,514354620,513544330.4,1800314.94,510806962,515418488
608d5a47141444305b808dbb32f4220032c085018013830400c982000000000001,377357266.80,361260652.0,361260652,365242317,8774792.82,359954706,380629691
8204252650d75445b97451032b5230010a1031929833007077000000000000000,438233529.60,433721655.0,433721655,434849123.6,2555869.63,432323336,438846409
6dbddb7737557d75dbb7fdbb76ffb65d7feb37dbeddbb7dfeffaffc87f3f1a27ff,437728118.20,434719770.0,434719770,435296509.4,1809256.88,433604471,438250632
658d487756457970d295f5b820e3373d7d8a371bc8dba59ec33a44000010080000,542601400.20,541487655.0,541487655,541102655.4,1759931.65,538129986,542835392
69bd5b76775d7d754bb7fdbb76f7b55d7feba75be5dbbfdfc9ba8e9de13c184c73,590960770.40,590212840.0,590212840,590259643.2,633608.93,589347389,591051140
2501563451293481220122246682181182878981c21001420a00000000000000,386031726.60,382084277.0,382084277,382754994,2425065.88,380942181,387008386
da008001201446cc9237002003c0510038984c20841060160a080001000000000,343310022.80,342464108.0,342464108,342079326,1198026.39,340338940,343491522
209810556244206408145028000481010149064000101006008800000000000000,345611838.60,343056894.0,343056894,343428141.4,1875028.31,341539479,345781537
6c8c5a77475d79549795e5b9743bb60d76aba55acc9bb3ca8fe8822202140000a0,689479564.40,685244672.0,685244672,685834047.4,3549175.72,681428670,689514703
8b0080204040010131601201401820c0001040281503105486000000000000000,338635363.00,337246837.0,337246837,337253365.4,1248151.84,335819097,338738395
44235a77575d5d359835f5b376dd97047fa9859bedcbb5cee7fa07000000000000,650483689.20,648847188.0,648847188,648995968.2,1139420.35,647848584,650793722
6dbd7b67775d7d25dbb7fcbb76fbb75d7febb7dbed9bb7dfeffadfae9e1c6a3463,522998784.60,519340144.0,519340144,520587740.4,2091265.69,518591453,523100472
24180004000000003600000052804100c9000000080004042800000000000000,319952721.40,317817771.0,317817771,318031868.8,1613193.15,315836975,320356244
6dbd4f77775d7d54d83255b966ffb5517feba69aaddba5dfcf2aa88c8020060002,638351392.80,624786705.0,624786705,627750914.4,7786476.01,620968222,640817750
6dbd5a6677557d6ddbb3f9bb767fb75c7feba7d3eddb375feffafb1910363ad301,543809087.60,542771573.0,542771573,542224968.6,1507978.59,540243129,544032966
6db5da7766197d75daa77c3b52bfb7547ba8b7dbed1126dbeff202203000003000,630472016.80,627038398.0,627038398,627775232.8,1978078.95,626179464,631205032
6599db75724c7875db357cab507da719656b36db8d5a149eeeba87043000000002,510076931.80,507379752.0,507379752,507204441.8,2379504.21,504502647,510556220
6dbdcb7777597d71db35fdbb76ffb7557febb7dbedd1b7dfeffa36a9613e42770e,559721167.00,556181434.0,556181434,556816584.8,2632096.20,553133989,560001493
51a00041000305000012a008000000240800080010200008080000000000000,281836586.60,277111236.0,277111236,277249753.4,3511031.95,273848399,282966696
80000000000000000000000000000000000000000000000000000000000000000,261139658.00,256882423.0,256882423,257823836.6,2459200.70,255759723,261790380
6dbd5a77775d7d7ddbb3fdbb76ffb75c7febb7dbeddbb7dfeffaff1d7f3f7affdf,399341073.60,396816224.0,396816224,397655743.6,1480503.61,396293869,399394426
6dbd5b77755d7d75dbb7fdbb76ffb75d7febb7dbecd3b7dfeefbdfe67ebd72ae31,459657957.00,454733656.0,454733656,456133652.2,3209672.21,452486445,459752468
6cb9d315675d7d65d8b56dbb6675b3583fab95586ddb8657add0c28010004041c1,526195859.60,524046583.0,524046583,522372279.6,4207433.88,517026146,526325197
41015900640c2954029351003226845d1aa0308984089511000a00000000000000,363316230.40,362988720.0,362988720,362235090.4,1481713.23,359811421,363343770
40294b10251875118b15a8a362332f4c5be8939a8c88375ea6d280000000200000,556865665.80,553635544.0,553635544,553411975,2870887.12,550094685,557441417
8000200000080000200000000000000000200000000001000000000000000000,263282459.00,258126736.0,258126736,259516178.4,2849315.61,257132515,263875987
8912010200200000044008002021183008800000190041000080000000000000,282779854.60,282181098.0,282181098,281629185.6,1333354.08,279919855,282785116
6db5db77771d7d75dba7fdbb52ffb75c7ba8b7dbeddba7dbeffae638f811783693,611070212.40,610117691.0,610117691,609913334.8,1051064.14,608578147,611214080
