"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",1054,65,121,"Eliminated",727,57.9
"bst",1057,65,122,"Eliminated",731,58.4
"bst",1063,65,123,"Eliminated",805,58.9
"bst",1070,65,124,"Eliminated",812,59.3
"bst",1076,65,125,"Eliminated",817,59.8
"bst",1082,65,126,"Eliminated",817,60.3
"bst",1089,65,127,"Eliminated",820,60.8
"bst",1096,65,128,"Eliminated",820,61.2
"bst",1101,65,129,"Eliminated",831,61.7
"bst",1106,65,130,"Eliminated",833,62.2
"bst",1114,65,131,"Eliminated",836,62.7
"bst",1120,65,132,"Eliminated",840,63.2
"bst",1125,65,133,"Eliminated",843,63.6
"bst",1131,65,134,"Eliminated",843,64.1
"bst",1137,65,135,"Eliminated",843,64.6
"bst",1144,65,136,"Eliminated",848,65.1
"bst",1150,65,137,"Eliminated",846,65.6
"bst",1154,65,138,"Eliminated",848,66
"bst",1162,65,139,"Eliminated",877,66.5
"bst",1170,65,140,"Eliminated",878,67
"bst",1175,65,141,"Eliminated",879,67.5
"bst",1182,65,142,"Eliminated",879,67.9
"bst",1188,65,143,"Eliminated",887,68.4
"bst",1192,65,144,"Eliminated",887,68.9
"bst",1197,65,145,"Eliminated",887,69.4
"bst",1206,65,146,"Eliminated",916,69.9
"bst",1215,65,147,"Eliminated",916,70.3
"bst",1221,65,148,"Eliminated",916,70.8
"bst",1224,65,149,"Eliminated",924,71.3
"bst",1234,65,150,"Eliminated",924,71.8
"bst",1237,65,151,"Eliminated",934,72.2
"bst",1244,65,152,"Eliminated",1023,72.7
"bst",1251,65,153,"Eliminated",1028,73.2
"bst",1257,65,154,"Eliminated",1028,73.7
"bst",1263,65,155,"Eliminated",1052,74.2
"bst",1270,65,156,"Eliminated",1052,74.6
"bst",1277,65,157,"Eliminated",1063,75.1
"bst",1284,65,158,"Eliminated",1066,75.6
"bst",1290,65,159,"Eliminated",1069,76.1
"bst",1296,65,160,"Eliminated",1098,76.6
"bst",1300,65,161,"Eliminated",1092,77
"bst",1308,65,162,"Eliminated",1101,77.5
"bst",1315,65,163,"Eliminated",1148,78
"bst",1321,65,164,"Eliminated",1159,78.5
"bst",1330,65,165,"Eliminated",1152,78.9
"bst",1336,65,166,"Eliminated",1155,79.4
"bst",1341,65,167,"Eliminated",1155,79.9
"bst",1351,65,168,"Eliminated",1155,80.4
"bst",1356,65,169,"Eliminated",1151,80.9
"bst",1359,65,170,"Eliminated",1177,81.3
"bst",1366,65,171,"Eliminated",1184,81.8
"bst",1373,65,172,"Eliminated",1184,82.3
"bst",1378,65,173,"Eliminated",1184,82.8
"bst",1386,65,174,"Eliminated",1184,83.3
"bst",1392,65,175,"Eliminated",1193,83.7
"bst",1398,65,176,"Eliminated",1185,84.2
"bst",1403,65,177,"Eliminated",1185,84.7
"bst",1409,65,178,"Eliminated",1188,85.2
"bst",1416,65,179,"Eliminated",1188,85.6
"bst",1422,65,180,"Eliminated",1188,86.1
"bst",1428,65,181,"Eliminated",1188,86.6
"bst",1437,65,182,"Eliminated",1152,87.1
"bst",1443,65,183,"Eliminated",1205,87.6
"bst",1447,65,184,"Eliminated",1172,88
"bst",1457,65,185,"Eliminated",1179,88.5
"bst",1462,65,186,"Eliminated",1183,89
"bst",1467,65,187,"Eliminated",1185,89.5
"bst",1473,65,188,"Eliminated",1185,90
"bst",1480,65,189,"Eliminated",1185,90.4
"bst",1486,65,190,"Eliminated",1205,90.9
"bst",1493,65,191,"Eliminated",1205,91.4
"bst",1499,65,192,"Eliminated",1219,91.9
"bst",1505,65,193,"Eliminated",1235,92.3
"bst",1511,65,194,"Eliminated",1249,92.8
"bst",1518,65,195,"Eliminated",1249,93.3
"bst",1524,65,196,"Eliminated",1249,93.8
"bst",1529,65,197,"Eliminated",1257,94.3
"bst",1534,65,198,"Eliminated",1257,94.7
"bst",1542,65,199,"Eliminated",1265,95.2
"bst",1547,65,200,"Eliminated",1265,95.7
"bst",1552,65,201,"Eliminated",1265,96.2
"bst",1558,65,202,"Eliminated",1271,96.7
"bst",1564,65,203,"Eliminated",1271,97.1
"bst",1570,65,204,"Eliminated",1287,97.6
"bst",1576,65,205,"Eliminated",1287,98.1
"bst",1582,65,206,"Eliminated",1287,98.6
"bst",1588,65,207,"Eliminated",1294,99
"bst",1593,65,208,"Eliminated",1302,99.5
"bst",1599,65,209,"Eliminated",1283,100
"bst",1606,66,1,"Eliminated",193,0.5
"bst",1612,66,2,"Eliminated",193,1
"bst",1618,66,3,"Eliminated",199,1.4
"bst",1626,66,4,"Eliminated",203,1.9
"bst",1630,66,5,"Eliminated",203,2.4
"bst",1636,66,6,"Eliminated",207,2.9
"bst",1642,66,7,"Eliminated",207,3.3
"bst",1648,66,8,"Eliminated",209,3.8
"bst",1654,66,9,"Eliminated",210,4.3
"bst",1660,66,10,"Eliminated",210,4.8
"bst",1664,66,11,"Eliminated",209,5.3
"bst",1671,66,12,"Eliminated",213,5.7
"bst",1677,66,13,"Eliminated",213,6.2
"bst",1683,66,14,"Eliminated",215,6.7
"bst",1690,66,15,"Eliminated",217,7.2
"bst",1695,66,16,"Eliminated",217,7.7
"bst",1702,66,17,"Eliminated",220,8.1
"bst",1708,66,18,"Eliminated",220,8.6
"bst",1713,66,19,"Eliminated",220,9.1
"bst",1718,66,20,"Eliminated",229,9.6
"bst",1725,66,21,"Eliminated",238,10
"bst",1731,66,22,"Eliminated",244,10.5
"bst",1737,66,23,"Eliminated",245,11
"bst",1743,66,24,"Eliminated",245,11.5
"bst",1749,66,25,"Eliminated",252,12
"bst",1755,66,26,"Eliminated",253,12.4
"bst",1761,66,27,"Eliminated",253,12.9
"bst",1767,66,28,"Eliminated",253,13.4
"bst",1773,66,29,"Eliminated",255,13.9
"bst",1779,66,30,"Eliminated",255,14.4
"bst",1785,66,31,"Eliminated",255,14.8
"bst",1791,66,32,"Eliminated",262,15.3
"bst",1797,66,33,"Eliminated",266,15.8
"bst",1802,66,34,"Eliminated",272,16.3
"bst",1808,66,35,"Eliminated",274,16.7
"bst",1814,66,36,"Eliminated",274,17.2
"bst",1820,66,37,"Eliminated",280,17.7
"bst",1826,66,38,"Eliminated",282,18.2
"bst",1832,66,39,"Eliminated",284,18.7
"bst",1838,66,40,"Eliminated",292,19.1
"bst",1845,66,41,"Eliminated",296,19.6
"bst",1851,66,42,"Eliminated",299,20.1
"bst",1857,66,43,"Eliminated",297,20.6
"bst",1863,66,44,"Eliminated",304,21.1
"bst",1869,66,45,"Eliminated",313,21.5
"bst",1875,66,46,"Eliminated",315,22
"bst",1881,66,47,"Eliminated",318,22.5
"bst",1884,66,48,"Eliminated",329,23
"bst",1890,66,49,"Eliminated",329,23.4
"bst",1896,66,50,"Eliminated",328,23.9
"bst",1902,66,51,"Eliminated",329,24.4
"bst",1908,66,52,"Eliminated",338,24.9
"bst",1914,66,53,"Eliminated",340,25.4
"bst",1920,66,54,"Eliminated",340,25.8
"bst",1926,66,55,"Eliminated",366,26.3
"bst",1932,66,56,"Eliminated",368,26.8
"bst",1938,66,57,"Eliminated",370,27.3
"bst",1944,66,58,"Eliminated",372,27.8
"bst",1949,66,59,"Eliminated",373,28.2
"bst",1954,66,60,"Eliminated",375,28.7
"bst",1960,66,61,"Eliminated",373,29.2
"bst",1967,66,62,"Eliminated",371,29.7
"bst",1973,66,63,"Eliminated",372,30.1
"bst",1979,66,64,"Eliminated",372,30.6
"bst",1985,66,65,"Eliminated",384,31.1
"bst",1991,66,66,"Eliminated",391,31.6
"bst",1993,66,67,"Eliminated",400,32.1
"bst",2002,66,68,"Eliminated",400,32.5
"bst",2009,66,69,"Eliminated",413,33
"bst",2015,66,70,"Eliminated",413,33.5
"bst",2020,66,71,"Eliminated",415,34
"bst",2027,66,72,"Eliminated",418,34.4
"bst",2031,66,73,"Eliminated",426,34.9
"bst",2037,66,74,"Eliminated",426,35.4
"bst",2043,66,75,"Eliminated",431,35.9
"bst",2049,66,76,"Eliminated",431,36.4
"bst",2052,66,77,"Eliminated",431,36.8
"bst",2057,66,78,"Eliminated",484,37.3
"bst",2067,66,79,"Eliminated",517,37.8
"bst",2070,66,80,"Eliminated",517,38.3
"bst",2077,66,81,"Eliminated",522,38.8
"bst",2081,66,82,"Eliminated",525,39.2
"bst",2087,66,83,"Eliminated",525,39.7
"bst",2092,66,84,"Eliminated",539,40.2
"bst",2097,66,85,"Eliminated",539,40.7
"bst",2104,66,86,"Eliminated",543,41.1
"bst",2109,66,87,"Eliminated",538,41.6
"bst",2115,66,88,"Eliminated",546,42.1
"bst",2122,66,89,"Eliminated",557,42.6
"bst",2126,66,90,"Eliminated",559,43.1
"bst",2136,66,91,"Eliminated",560,43.5
"bst",2138,66,92,"Eliminated",583,44
"bst",2148,66,93,"Eliminated",585,44.5
"bst",2154,66,94,"Eliminated",594,45
"bst",2156,66,95,"Eliminated",604,45.5
"bst",2166,66,96,"Eliminated",607,45.9
"bst",2172,66,97,"Eliminated",607,46.4
"bst",2174,66,98,"Eliminated",609,46.9
"bst",2181,66,99,"Eliminated",610,47.4
"bst",2187,66,100,"Eliminated",623,47.8
"bst",2194,66,101,"Eliminated",631,48.3
"bst",2200,66,102,"Eliminated",643,48.8
"bst",2205,66,103,"Eliminated",655,49.3
"bst",2212,66,104,"Eliminated",670,49.8
"bst",2220,66,105,"Eliminated",670,50.2
"bst",2228,66,106,"Eliminated",673,50.7
"bst",2234,66,107,"Eliminated",680,51.2
"bst",2239,66,108,"Eliminated",682,51.7
"bst",2244,66,109,"Eliminated",682,52.2
"bst",2249,66,110,"Eliminated",690,52.6
"bst",2254,66,111,"Eliminated",690,53.1
"bst",2260,66,112,"Eliminated",690,53.6
"bst",2267,66,113,"Eliminated",692,54.1
"bst",2272,66,114,"Eliminated",756,54.5
"bst",2278,66,115,"Eliminated",764,55
"bst",2284,66,116,"Eliminated",765,55.5
"bst",2290,66,117,"Eliminated",764,56
