"program_id","path_id","level_id","measurement_type","stress","iter","median","classification","example"
2,14,0.523560209424084,"gradual",16,100,2.3390115,"worst","avlja"
2,14,1.04712041884817,"gradual",16,100,2.335269,"worst","avlja"
2,14,1.57068062827225,"gradual",16,100,2.3057985,"worst","avlja"
2,14,2.09424083769634,"gradual",16,100,2.3161,"worst","avlja"
2,14,2.61780104712042,"gradual",16,100,2.3174715,"worst","avlja"
2,14,3.1413612565445,"gradual",16,100,2.327177,"worst","avlja"
2,14,3.66492146596859,"gradual",16,100,2.353002,"worst","avlja"
2,14,4.18848167539267,"gradual",16,100,2.331615,"worst","avlja"
2,14,4.71204188481675,"gradual",16,100,2.310439,"worst","avlja"
2,14,5.23560209424084,"gradual",16,100,2.337669,"worst","avlja"
2,14,5.75916230366492,"gradual",16,100,2.343068,"worst","avlja"
2,14,6.282722513089,"gradual",16,100,2.3551295,"worst","avlja"
2,14,6.80628272251309,"gradual",16,100,2.3288195,"worst","avlja"
2,14,7.32984293193717,"gradual",16,100,2.364311,"worst","avlja"
2,14,7.85340314136126,"gradual",16,100,2.3690505,"worst","avlja"
2,14,8.37696335078534,"gradual",16,100,2.395717,"worst","avlja"
2,14,8.90052356020942,"gradual",16,100,2.3418335,"worst","avlja"
2,14,9.42408376963351,"gradual",16,100,2.359732,"worst","avlja"
2,14,9.94764397905759,"gradual",16,100,2.331844,"worst","avlja"
2,14,10.4712041884817,"gradual",16,100,2.6651285,"worst","avlja"
2,14,10.9947643979058,"gradual",16,100,2.655803,"worst","avlja"
2,14,11.5183246073298,"gradual",16,100,2.6798185,"worst","avlja"
2,14,12.0418848167539,"gradual",16,100,2.6680095,"worst","avlja"
2,14,12.565445026178,"gradual",16,100,2.6736535,"worst","avlja"
2,14,13.0890052356021,"gradual",16,100,2.6955365,"worst","avlja"
2,14,13.6125654450262,"gradual",16,100,2.673213,"worst","avlja"
2,14,14.1361256544503,"gradual",16,100,2.699502,"worst","avlja"
2,14,14.6596858638743,"gradual",16,100,2.675457,"worst","avlja"
2,14,15.1832460732984,"gradual",16,100,2.7237115,"worst","avlja"
2,14,15.7068062827225,"gradual",16,100,2.6905255,"worst","avlja"
2,14,16.2303664921466,"gradual",16,100,2.714373,"worst","avlja"
2,14,16.7539267015707,"gradual",16,100,2.6651355,"worst","avlja"
2,14,17.2774869109948,"gradual",16,100,2.6858495,"worst","avlja"
2,14,17.8010471204188,"gradual",16,100,2.7358715,"worst","avlja"
2,14,18.3246073298429,"gradual",16,100,2.738699,"worst","avlja"
2,14,18.848167539267,"gradual",16,100,2.9057715,"worst","avlja"
2,14,19.3717277486911,"gradual",16,100,2.7520735,"worst","avlja"
2,14,19.8952879581152,"gradual",16,100,3.515601,"worst","avlja"
2,14,20.4188481675393,"gradual",16,100,3.5147315,"worst","avlja"
2,14,20.9424083769633,"gradual",16,100,3.596399,"worst","avlja"
2,14,21.4659685863874,"gradual",16,100,3.53274,"worst","avlja"
2,14,21.9895287958115,"gradual",16,100,3.5545145,"worst","avlja"
2,14,22.5130890052356,"gradual",16,100,3.5831555,"worst","avlja"
2,14,23.0366492146597,"gradual",16,100,3.6063065,"worst","avlja"
2,14,23.5602094240838,"gradual",16,100,3.591229,"worst","avlja"
2,14,24.0837696335079,"gradual",16,100,3.579751,"worst","avlja"
2,14,24.6073298429319,"gradual",16,100,3.6002635,"worst","avlja"
2,14,25.130890052356,"gradual",16,100,3.5839115,"worst","avlja"
2,14,25.6544502617801,"gradual",16,100,3.650296,"worst","avlja"
2,14,26.1780104712042,"gradual",16,100,3.77493,"worst","avlja"
2,14,26.7015706806283,"gradual",16,100,3.8237815,"worst","avlja"
2,14,27.2251308900524,"gradual",16,100,4.1821905,"worst","avlja"
2,14,27.7486910994764,"gradual",16,100,4.259075,"worst","avlja"
2,14,28.2722513089005,"gradual",16,100,4.195615,"worst","avlja"
2,14,28.7958115183246,"gradual",16,100,4.223974,"worst","avlja"
2,14,29.3193717277487,"gradual",16,100,4.3646625,"worst","avlja"
2,14,29.8429319371728,"gradual",16,100,4.1963345,"worst","avlja"
2,14,30.3664921465969,"gradual",16,100,4.1806265,"worst","avlja"
2,14,30.8900523560209,"gradual",16,100,4.3452945,"worst","avlja"
2,14,31.413612565445,"gradual",16,100,4.29858,"worst","avlja"
2,14,31.9371727748691,"gradual",16,100,4.2680935,"worst","avlja"
2,14,32.4607329842932,"gradual",16,100,7.27223,"worst","avlja"
2,14,32.9842931937173,"gradual",16,100,7.3475765,"worst","avlja"
2,14,33.5078534031414,"gradual",16,100,7.431634,"worst","avlja"
2,14,34.0314136125654,"gradual",16,100,7.281326,"worst","avlja"
2,14,34.5549738219895,"gradual",16,100,7.259538,"worst","avlja"
2,14,35.0785340314136,"gradual",16,100,7.4733805,"worst","avlja"
2,14,35.6020942408377,"gradual",16,100,7.5794685,"worst","avlja"
2,14,36.1256544502618,"gradual",16,100,7.429595,"worst","avlja"
2,14,36.6492146596859,"gradual",16,100,7.593471,"worst","avlja"
2,14,37.17277486911,"gradual",16,100,7.5065515,"worst","avlja"
2,14,37.696335078534,"gradual",16,100,7.4556565,"worst","avlja"
2,14,38.2198952879581,"gradual",16,100,7.59864,"worst","avlja"
2,14,38.7434554973822,"gradual",16,100,7.607939,"worst","avlja"
2,14,39.2670157068063,"gradual",16,100,7.7141355,"worst","avlja"
2,14,39.7905759162304,"gradual",16,100,7.489447,"worst","avlja"
2,14,40.3141361256544,"gradual",16,100,7.4630075,"worst","avlja"
2,14,40.8376963350785,"gradual",16,100,7.752547,"worst","avlja"
2,14,41.3612565445026,"gradual",16,100,7.48029,"worst","avlja"
2,14,41.8848167539267,"gradual",16,100,7.479015,"worst","avlja"
2,14,42.4083769633508,"gradual",16,100,7.555123,"worst","avlja"
2,14,42.9319371727749,"gradual",16,100,7.4801675,"worst","avlja"
2,14,43.455497382199,"gradual",16,100,7.5642355,"worst","avlja"
2,14,43.979057591623,"gradual",16,100,7.3440855,"worst","avlja"
2,14,44.5026178010471,"gradual",16,100,6.722379,"worst","avlja"
2,14,45.0261780104712,"gradual",16,100,6.675846,"worst","avlja"
2,14,45.5497382198953,"gradual",16,100,6.8012095,"worst","avlja"
2,14,46.0732984293194,"gradual",16,100,5.9917085,"worst","avlja"
2,14,46.5968586387435,"gradual",16,100,5.9941125,"worst","avlja"
2,14,47.1204188481675,"gradual",16,100,6.0171675,"worst","avlja"
2,14,47.6439790575916,"gradual",16,100,6.072776,"worst","avlja"
2,14,48.1675392670157,"gradual",16,100,5.883199,"worst","avlja"
2,14,48.6910994764398,"gradual",16,100,5.8642545,"worst","avlja"
2,14,49.2146596858639,"gradual",16,100,5.9609285,"worst","avlja"
2,14,49.738219895288,"gradual",16,100,6.0825105,"worst","avlja"
2,14,50.261780104712,"gradual",16,100,6.3211085,"worst","avlja"
2,14,50.7853403141361,"gradual",16,100,6.2020855,"worst","avlja"
2,14,51.3089005235602,"gradual",16,100,6.0530525,"worst","avlja"
2,14,51.8324607329843,"gradual",16,100,6.088822,"worst","avlja"
2,14,52.3560209424084,"gradual",16,100,6.058231,"worst","avlja"
2,14,52.8795811518325,"gradual",16,100,6.071266,"worst","avlja"
2,14,53.4031413612565,"gradual",16,100,6.2261625,"worst","avlja"
2,14,53.9267015706806,"gradual",16,100,6.092927,"worst","avlja"
2,14,54.4502617801047,"gradual",16,100,6.0865,"worst","avlja"
2,14,54.9738219895288,"gradual",16,100,6.188117,"worst","avlja"
2,14,55.4973821989529,"gradual",16,100,6.056085,"worst","avlja"
2,14,56.020942408377,"gradual",16,100,6.326585,"worst","avlja"
2,14,56.544502617801,"gradual",16,100,6.9422095,"worst","avlja"
2,14,57.0680628272251,"gradual",16,100,7.0164645,"worst","avlja"
2,14,57.5916230366492,"gradual",16,100,6.876873,"worst","avlja"
2,14,58.1151832460733,"gradual",16,100,8.314773,"worst","avlja"
2,14,58.6387434554974,"gradual",16,100,9.017928,"worst","avlja"
2,14,59.1623036649215,"gradual",16,100,8.668438,"worst","avlja"
2,14,59.6858638743455,"gradual",16,100,8.338959,"worst","avlja"
2,14,60.2094240837696,"gradual",16,100,8.2695775,"worst","avlja"
2,14,60.7329842931937,"gradual",16,100,8.282849,"worst","avlja"
2,14,61.2565445026178,"gradual",16,100,9.1484775,"worst","avlja"
2,14,61.7801047120419,"gradual",16,100,8.4649785,"worst","avlja"
2,14,62.303664921466,"gradual",16,100,8.3499125,"worst","avlja"
2,14,62.82722513089,"gradual",16,100,8.590883,"worst","avlja"
2,14,63.3507853403141,"gradual",16,100,8.567901,"worst","avlja"
2,14,63.8743455497382,"gradual",16,100,8.361325,"worst","avlja"
2,14,64.3979057591623,"gradual",16,100,8.3738775,"worst","avlja"
2,14,64.9214659685864,"gradual",16,100,8.5298275,"worst","avlja"
2,14,65.4450261780105,"gradual",16,100,8.0996835,"worst","avlja"
2,14,65.9685863874346,"gradual",16,100,8.1148965,"worst","avlja"
2,14,66.4921465968586,"gradual",16,100,7.587418,"worst","avlja"
2,14,67.0157068062827,"gradual",16,100,8.068315,"worst","avlja"
2,14,67.5392670157068,"gradual",16,100,7.922761,"worst","avlja"
2,14,68.0628272251309,"gradual",16,100,8.0061955,"worst","avlja"
2,14,68.586387434555,"gradual",16,100,7.8441525,"worst","avlja"
2,14,69.109947643979,"gradual",16,100,7.994125,"worst","avlja"
2,14,69.6335078534031,"gradual",16,100,7.9057045,"worst","avlja"
2,14,70.1570680628272,"gradual",16,100,8.0205455,"worst","avlja"
2,14,70.6806282722513,"gradual",16,100,8.1094305,"worst","avlja"
2,14,71.2041884816754,"gradual",16,100,8.0935345,"worst","avlja"
2,14,71.7277486910995,"gradual",16,100,8.0721095,"worst","avlja"
2,14,72.2513089005236,"gradual",16,100,8.282376,"worst","avlja"
2,14,72.7748691099476,"gradual",16,100,8.104093,"worst","avlja"
2,14,73.2984293193717,"gradual",16,100,7.7918065,"worst","avlja"
2,14,73.8219895287958,"gradual",16,100,7.871389,"worst","avlja"
2,14,74.3455497382199,"gradual",16,100,7.4537725,"worst","avlja"
